1462_170145_000001_000000	CHAPTER IX	CHAPTER nine
1462_170145_000002_000000	On the last Saturday in April, the New York "Times" published an account of the strike complications which were delaying Alexander's New Jersey bridge, and stated that the engineer himself was in town and at his office on West Tenth Street.	On the last Saturday in April, the New York "Times" published an account of the strike complications which were delaying Alexander's New Jersey bridge, and stated that the engineer himself was in town and at his office on West Tenth Street.
1462_170145_000003_000001	His business often called him to New York, and he had kept an apartment there for years, subletting it when he went abroad for any length of time.	His business often called him to New York, and he had kept an apartment there for years, subletting it when he went abroad for any length of time.
1462_170145_000003_000002	Besides his sleeping-room and bath, there was a large room, formerly a painter's studio, which he used as a study and office.	Besides his sleeping room and bath, there was a large room, formerly a painter's studio, which he used as a study and office.
1462_170145_000003_000003	It was furnished with the cast-off possessions of his bachelor days and with odd things which he sheltered for friends of his who followed itinerant and more or less artistic callings.	It was furnished with the cast off possessions of his bachelor days and with odd things which he sheltered for friends of his who followed itinerant and more or less artistic callings.
1462_170145_000003_000004	Over the fireplace there was a large old-fashioned gilt mirror.	Over the fireplace there was a large old-fashioned gilt mirror.
1462_170145_000003_000005	Alexander's big work-table stood in front of one of the three windows, and above the couch hung the one picture in the room, a big canvas of charming color and spirit, a study of the Luxembourg Gardens in early spring, painted in his youth by a man who had since become a portrait-painter of international renown.	Alexander's big work table stood in front of one of the three windows, and above the couch hung the one picture in the room, a big canvas of charming color and spirit, a study of the Luxembourg Gardens in early spring, painted in his youth by a man who had since become a portrait painter of international renown.
1462_170145_000004_000001	When Alexander came back from dinner he put more wood on his fire, made himself comfortable, and settled down at his desk, where he began checking over estimate sheets.	When Alexander came back from dinner he put more wood on his fire, made himself comfortable, and settled down at his desk, where he began checking over estimate sheets.
1462_170145_000004_000002	It was after nine o'clock and he was lighting a second pipe, when he thought he heard a sound at his door. He started and listened, holding the burning match in his hand; again he heard the same sound, like a firm, light tap.	It was after nine o'clock and he was lighting a second pipe, when he thought he heard a sound at his door. He started and listened, holding the burning match in his hand; again he heard the same sound, like a firm, light tap.
1462_170145_000004_000003	He rose and crossed the room quickly.	He rose and crossed the room quickly.
1462_170145_000004_000005	He stood for a moment in awkward constraint, his pipe in his hand.	He stood for a moment in awkward constraint, his pipe in his hand.
