777_126732_000000_000000	He a pessimist!	He a pessimist!	false	0.6	1.71	18.184181
777_126732_000000_000001	Preposterous!	Preposterous!	false	1.71	2.13	20
777_126732_000000_000002	He cried out that the charge was outrageous.	He cried out that the charge was outrageous.	false	2.13	5.58	22.994162
777_126732_000000_000003	He was so far from pessimism that he saw already the end of all private property coming along logically, unavoidably, by the mere development of its inherent viciousness.	He was so far from pessimism that he saw already the end of all private property coming along logically, unavoidably, by the mere development of its inherent viciousness.	false	5.58	18.45	22.43438
777_126732_000000_000004	The possessors of property had not only to face the awakened proletariat, but they had also to fight amongst themselves.	The possessors of property had not only to face the awakened proletariat, but they had also to fight amongst themselves.	false	18.45	30.09	18.666994
777_126732_000000_000005	Yes. Struggle, warfare, was the condition of private ownership.	Yes. Struggle, warfare, was the condition of private ownership.	false	30.09	32.46	19
777_126732_000000_000006	It was fatal.	It was fatal.	false	32.46	32.91	11
777_126732_000000_000007	Ah! he did not depend upon emotional excitement to keep up his belief, no declamations, no anger, no visions of blood-red flags waving, or metaphorical lurid suns of vengeance rising above the horizon of a doomed society.	Ah! he did not depend upon emotional excitement to keep up his belief, no declamations, no anger, no visions of blood red flags waving, or metaphorical lurid suns of vengeance rising above the horizon of a doomed society.	false	32.91	41.37	20.350014
777_126732_000000_000008	Not he!	Not he!	false	41.37	41.94	17
777_126732_000000_000009	Cold reason, he boasted, was the basis of his optimism.	Cold reason, he boasted, was the basis of his optimism.	false	41.94	44.73	21.314533
777_126732_000000_000010	Yes, optimism--	Yes, optimism-	false	44.73	45.57	19.32762
777_126732_000001_000000	His laborious wheezing stopped, then, after a gasp or two, he added:	His laborious wheezing stopped, then, after a gasp or two, he added:	false	45.57	50.55	21.119177
777_126732_000002_000000	"Don't you think that, if I had not been the optimist I am, I could not have found in fifteen years some means to cut my throat?	"Don't you think that, if I had not been the optimist I am, I could not have found in fifteen years some means to cut my throat?	false	50.55	61.86	20.498745
777_126732_000002_000001	And, in the last instance, there were always the walls of my cell to dash my head against."	And, in the last instance, there were always the walls of my cell to dash my head against."	false	61.86	67.2	21.947214
777_126732_000003_000000	The shortness of breath took all fire, all animation out of his voice; his great, pale cheeks hung like filled pouches, motionless, without a quiver; but in his blue eyes, narrowed as if peering, there was the same look of confident shrewdness, a little crazy in its fixity, they must have had while the indomitable optimist sat thinking at night in his cell.	The shortness of breath took all fire, all animation out of his voice; his great, pale cheeks hung like filled pouches, motionless, without a quiver; but in his blue eyes, narrowed as if peering, there was the same look of confident shrewdness, a little crazy in its fixity, they must have had while the indomitable optimist sat thinking at night in his cell.	false	67.2	87.21	20.801695
777_126732_000003_000001	Before him, Karl Yundt remained standing, one wing of his faded greenish havelock thrown back cavalierly over his shoulder.	Before him, Karl Yundt remained standing, one wing of his faded greenish havelock thrown back cavalierly over his shoulder.	false	87.21	92.94	21.84957
777_126732_000003_000002	Seated in front of the fireplace, Comrade Ossipon, ex-medical student, the principal writer of the F. P. leaflets, stretched out his robust legs, keeping the soles of his boots turned up to the glow in the grate.	Seated in front of the fireplace, Comrade Ossipon, ex medical student, the principal writer of the f p leaflets, stretched out his robust legs, keeping the soles of his boots turned up to the glow in the grate.	false	92.94	103.38	20
777_126732_000003_000003	A bush of crinkly yellow hair topped his red, freckled face, with a flattened nose and prominent mouth cast in the rough mould of the negro type.	A bush of crinkly yellow hair topped his red, freckled face, with a flattened nose and prominent mouth cast in the rough mould of the negro type.	false	103.38	109.8	18.940321
