6319_64726_000002_000000	Once upon a time there was a king and a queen who grieved sorely that they had no children.	Once upon a time there was a king and a queen who grieved sorely that they had no children.
6319_64726_000002_000001	When at last the queen gave birth to a daughter the king was so overjoyed that he gave a great christening feast, the like of which had never before been known.	When at last the queen gave birth to a daughter the king was so overjoyed that he gave a great christening feast, the like of which had never before been known.
6319_64726_000002_000002	He asked all the fairies in the land--there were seven all told--to stand godmothers to the little princess, hoping that each might give her a gift, and so she should have all imaginable perfections.	He asked all the fairies in the land-there were seven all told-to stand godmothers to the little princess, hoping that each might give her a gift, and so she should have all imaginable perfections.
6319_64726_000003_000001	Before each was set a magnificent plate, with a gold knife and a gold fork studded with diamonds and rubies.	Before each was set a magnificent plate, with a gold knife and a gold fork studded with diamonds and rubies.
6319_64726_000004_000001	The fairies now began to endow the princess.	The fairies now began to endow the princess.
6319_64726_000004_000002	The youngest, for her gift, decreed that she should be the most beautiful person in the world; the next that she should have the mind of an angel; the third that she should be perfectly graceful; the fourth that she should dance admirably well; the fifth, that she should sing like a nightingale; the sixth, that she should play charmingly upon every musical instrument.	The youngest, for her gift, decreed that she should be the most beautiful person in the world; the next that she should have the mind of an angel; the third that she should be perfectly graceful; the fourth that she should dance admirably well; the fifth, that she should sing like a nightingale; the sixth, that she should play charmingly upon every musical instrument.
6319_64726_000004_000003	The turn of the old fairy had now come, and she declared, while her head shook with malice, that the princess should pierce her hand with a spindle and die of the wound. This dreadful fate threw all the company into tears of dismay, when the young fairy who had hidden herself came forward and said:	The turn of the old fairy had now come, and she declared, while her head shook with malice, that the princess should pierce her hand with a spindle and die of the wound. This dreadful fate threw all the company into tears of dismay, when the young fairy who had hidden herself came forward and said:
6319_64726_000005_000000	"Be of good cheer, king and queen; your daughter shall not so die.	"Be of good cheer, king and queen; your daughter shall not so die.
6319_64726_000005_000001	It is true I cannot entirely undo what my elder has done.	It is true I cannot entirely undo what my elder has done.
6319_64726_000005_000002	The princess will pierce her hand with a spindle, but, instead of dying, she will only fall into a deep sleep.	The princess will pierce her hand with a spindle, but, instead of dying, she will only fall into a deep sleep.
6319_64726_000005_000003	The sleep will last a hundred years, and at the end of that time a king's son will come to wake her."	The sleep will last a hundred years, and at the end of that time a king's son will come to wake her."
6319_64726_000006_000000	The king, in hopes of preventing what the old fairy had foretold, immediately issued an edict by which he forbade all persons in his dominion from spinning or even having spindles in their houses under pain of instant death.	The king, in hopes of preventing what the old fairy had foretold, immediately issued an edict by which he forbade all persons in his dominion from spinning or even having spindles in their houses under pain of instant death.
6319_64726_000008_000000	"What are you doing?" asked the princess.	"What are you doing?" asked the princess.
6319_64726_000009_000000	"I am spinning, my fair child," said the old woman, who did not know her.	"I am spinning, my fair child," said the old woman, who did not know her.
6319_64726_000010_000000	"How pretty it is!" exclaimed the princess.	"How pretty it is!" exclaimed the princess.
6319_64726_000010_000001	"How do you do it?	"How do you do it?
6319_64726_000010_000002	Give it to me that I may see if I can do it." She had no sooner taken up the spindle, than, being hasty and careless, she pierced her hand with the point of it, and fainted away.	Give it to me that I may see if I can do it." She had no sooner taken up the spindle, than, being hasty and careless, she pierced her hand with the point of it, and fainted away.
6319_64726_000010_000004	People came running in from all sides; they threw water in the princess's face and did all they could to restore her, but nothing would bring her to.	People came running in from all sides; they threw water in the princess's face and did all they could to restore her, but nothing would bring her to.
6319_64726_000010_000006	The king looked sorrowfully upon her.	The king looked sorrowfully upon her.
6319_64726_000010_000007	He knew that she would not awake for a hundred years.	He knew that she would not awake for a hundred years.
6319_64726_000011_000000	The good fairy who had saved her life and turned her death into sleep was in the kingdom of Mataquin, twelve thousand leagues away, when this happened, but she learned of it from a dwarf who had a pair of seven-league boots, and instantly set out for the castle, where she arrived in an hour, drawn by dragons in a fiery chariot.	The good fairy who had saved her life and turned her death into sleep was in the kingdom of Mataquin, twelve thousand leagues away, when this happened, but she learned of it from a dwarf who had a pair of seven league boots, and instantly set out for the castle, where she arrived in an hour, drawn by dragons in a fiery chariot.
6319_64726_000011_000001	The king came forward to receive her and showed his grief.	The king came forward to receive her and showed his grief.
6319_64726_000011_000002	The good fairy was very wise and saw that the princess when she woke would find herself all alone in that great castle and everything about her would be strange.	The good fairy was very wise and saw that the princess when she woke would find herself all alone in that great castle and everything about her would be strange.
6319_64726_000011_000003	So this is what she did.	So this is what she did.
6319_64726_000011_000004	She touched with her wand everybody that was in the castle, except the king and queen.	She touched with her wand everybody that was in the castle, except the king and queen.
6319_64726_000011_000005	She touched the governesses, maids of honour, women of the bedchamber, gentlemen, officers, stewards, cooks, scullions, boys, guards, porters, pages, footmen; she touched the horses in the stable with their grooms, the great mastiffs in the court-yard, and even little Pouste, the tiny lap-dog of the princess that was on the bed beside her.	She touched the governesses, maids of honour, women of the bedchamber, gentlemen, officers, stewards, cooks, scullions, boys, guards, porters, pages, footmen; she touched the horses in the stable with their grooms, the great mastiffs in the court yard, and even little Pouste, the tiny lap dog of the princess that was on the bed beside her.
6319_64726_000011_000007	Even the spits before the fire, laden with partridges and pheasants, went to sleep, and the fire itself went to sleep also.	Even the spits before the fire, laden with partridges and pheasants, went to sleep, and the fire itself went to sleep also.
6319_64726_000012_000000	It was the work of a moment.	It was the work of a moment.
6319_64726_000012_000001	The king and queen kissed their daughter farewell and left the castle, issuing a proclamation that no person whatsoever was to approach it.	The king and queen kissed their daughter farewell and left the castle, issuing a proclamation that no person whatsoever was to approach it.
6319_64726_000012_000002	That was needless, for in a quarter of an hour there had grown up about it a wood so thick and filled with thorns that nothing could get at the castle, and the castle top itself could only be seen from a great distance.	That was needless, for in a quarter of an hour there had grown up about it a wood so thick and filled with thorns that nothing could get at the castle, and the castle top itself could only be seen from a great distance.
6319_64726_000013_000000	A hundred years went by, and the kingdom was in the hands of another royal family.	A hundred years went by, and the kingdom was in the hands of another royal family.
6319_64726_000013_000001	The son of the king was hunting one day when he discovered the towers of the castle above the tops of the trees, and asked what castle that was.	The son of the king was hunting one day when he discovered the towers of the castle above the tops of the trees, and asked what castle that was.
6319_64726_000013_000002	All manner of answers were given to him.	All manner of answers were given to him.
6319_64726_000013_000004	The prince did not know what to believe, when finally an old peasant said:	The prince did not know what to believe, when finally an old peasant said:
6319_64726_000015_000000	The young prince at these words felt himself on fire.	The young prince at these words felt himself on fire.
6319_64726_000015_000001	He had not a moment's doubt that he was destined to this great adventure, and full of ardour he determined at once to set out for the castle.	He had not a moment's doubt that he was destined to this great adventure, and full of ardour he determined at once to set out for the castle.
6319_64726_000015_000003	He walked toward the castle, which appeared now at the end of a long avenue, but when he turned to, look for his followers not one was to be seen; the woods had closed instantly upon him as he had passed through.	He walked toward the castle, which appeared now at the end of a long avenue, but when he turned to, look for his followers not one was to be seen; the woods had closed instantly upon him as he had passed through.
6319_64726_000015_000007	But the faces of the men were rosy, and the goblets by them had a few drops of wine left.	But the faces of the men were rosy, and the goblets by them had a few drops of wine left.
6319_64726_000015_000008	The men had plainly fallen asleep.	The men had plainly fallen asleep.
6319_64726_000015_000009	His steps resounded as he passed over the marble pavement and up the marble staircase.	His steps resounded as he passed over the marble pavement and up the marble staircase.
6319_64726_000015_000010	He entered the guard-room; there the guards stood drawn up in line with carbines at their shoulders, but they were sound asleep.	He entered the guard room; there the guards stood drawn up in line with carbines at their shoulders, but they were sound asleep.
6319_64726_000015_000011	He passed through one apartment after another, where were ladies and gentlemen asleep in their chairs or standing.	He passed through one apartment after another, where were ladies and gentlemen asleep in their chairs or standing.
6319_64726_000015_000013	He drew near, trembling and wondering, and knelt beside her.	He drew near, trembling and wondering, and knelt beside her.
6319_64726_000015_000014	Her hand lay upon her breast, and he touched his lips to it.	Her hand lay upon her breast, and he touched his lips to it.
6319_64726_000015_000015	At that moment, the enchantment being ended, the princess awoke, and, looking drowsily and tenderly at the young man, said:	At that moment, the enchantment being ended, the princess awoke, and, looking drowsily and tenderly at the young man, said:
6319_64726_000016_000000	"Have you come, my prince?	"Have you come, my prince?
6319_64726_000016_000002	The prince was overjoyed at the words, and at the tender voice and look, and scarcely knew how to speak.	The prince was overjoyed at the words, and at the tender voice and look, and scarcely knew how to speak.
6319_64726_000016_000003	But he managed to assure her of his love, and they soon forgot all else as they talked and talked.	But he managed to assure her of his love, and they soon forgot all else as they talked and talked.
6319_64726_000017_000001	The lady-in-waiting became very impatient, and at length announced to the princess that they all waited for her.	The lady in waiting became very impatient, and at length announced to the princess that they all waited for her.
6319_64726_000017_000002	Then the prince took the princess by the hand; she was dressed in great splendour, but he did not hint that she looked as he had seen pictures of his great-grandmother look; he thought her all the more charming for that.	Then the prince took the princess by the hand; she was dressed in great splendour, but he did not hint that she looked as he had seen pictures of his great grandmother look; he thought her all the more charming for that.
