174_168635_000000_000000	The same sad, piercing, religious sentiment filled his heart.	The same sad, piercing, religious sentiment filled his heart.	false	0	0.54	-9
174_168635_000001_000000	He knelt beside Cosette's bed.	He knelt beside Cosette's bed.	false	0.54	0.84	35
174_168635_000002_000000	lt was broad daylight, and the child still slept.	l t was broad daylight, and the child still slept.	false	0.84	1.44	18
174_168635_000002_000001	A wan ray of the December sun penetrated the window of the attic and lay upon the ceiling in long threads of light and shade.	A wan ray of the December sun penetrated the window of the attic and lay upon the ceiling in long threads of light and shade.	false	1.44	3.675	21.310738
174_168635_000002_000002	All at once a heavily laden carrier's cart, which was passing along the boulevard, shook the frail bed, like a clap of thunder, and made it quiver from top to bottom.	All at once a heavily laden carrier's cart, which was passing along the boulevard, shook the frail bed, like a clap of thunder, and made it quiver from top to bottom.	false	3.675	4.92	20.41712
174_168635_000003_000000	"Yes, madame!" cried Cosette, waking with a start, "here I am! here I am!"	"Yes, madame!" cried Cosette, waking with a start, "here I am! here I am!"	false	4.92	8.61	20.322361
174_168635_000004_000000	And she sprang out of bed, her eyes still half shut with the heaviness of sleep, extending her arms towards the corner of the wall.	And she sprang out of bed, her eyes still half shut with the heaviness of sleep, extending her arms towards the corner of the wall.	false	8.61	12.81	19.066738
174_168635_000005_000000	"Ah! mon Dieu, my broom!" said she.	"Ah! mon Dieu, my broom!" said she.	false	12.81	13.74	19.612608
174_168635_000006_000000	She opened her eyes wide now, and beheld the smiling countenance of Jean Valjean.	She opened her eyes wide now, and beheld the smiling countenance of Jean Valjean.	false	13.74	15.63	22.452541
174_168635_000007_000000	"Ah! so it is true!" said the child.	"Ah! so it is true!" said the child.	false	15.63	19.35	20.559961
174_168635_000007_000001	"Good morning, Monsieur."	"Good morning, Monsieur."	false	19.35	19.5	39
174_168635_000008_000000	Children accept joy and happiness instantly and familiarly, being themselves by nature joy and happiness.	Children accept joy and happiness instantly and familiarly, being themselves by nature joy and happiness.	false	19.5	20.58	18.024414
174_168635_000009_000000	Cosette caught sight of Catherine at the foot of her bed, and took possession of her, and, as she played, she put a hundred questions to Jean Valjean.	Cosette caught sight of Catherine at the foot of her bed, and took possession of her, and, as she played, she put a hundred questions to Jean Valjean.	false	20.58	24.36	20.774668
174_168635_000009_000001	Where was she?	Where was she?	false	24.36	24.48	17
174_168635_000009_000002	Was Paris very large?	Was Paris very large?	false	24.48	24.66	10
174_168635_000009_000003	Was Madame Thenardier very far away?	Was Madame Thenardier very far away?	false	24.66	24.9	14.0048
174_168635_000009_000004	Was she to go back?	Was she to go back?	false	24.9	25.56	22.932274
174_168635_000009_000005	etc., etc.	etc, etc	false	25.56	25.8	36
174_168635_000009_000006	All at once she exclaimed, "How pretty it is here!"	All at once she exclaimed, "How pretty it is here!"	false	25.8	27.12	17
174_168635_000010_000000	It was a frightful hole, but she felt free.	It was a frightful hole, but she felt free.	false	27.12	28.77	21.41491
174_168635_000011_000000	"Must I sweep?" she resumed at last.	"Must I sweep?" she resumed at last.	false	28.77	30.09	14.393605
174_168635_000012_000000	"Play!" said Jean Valjean.	"Play!" said Jean Valjean.	false	30.09	30.84	21.11333
