6295_64301_000001_000000	A CATASTROPHE.	A CATASTROPHE.
6295_64301_000002_000000	One winter evening, as soon as his work was over for the day, Joseph locked the door of his smithy, washed himself well, put on clean clothes, and, taking his violin, set out for Testbridge: Mary was expecting him to tea.	One winter evening, as soon as his work was over for the day, Joseph locked the door of his smithy, washed himself well, put on clean clothes, and, taking his violin, set out for Testbridge: Mary was expecting him to tea.
6295_64301_000002_000001	It was the afternoon of a holiday, and she had closed early.	It was the afternoon of a holiday, and she had closed early.
6295_64301_000003_000002	His being was like an all-sided lens concentrating all joys in the one heart of his consciousness.	His being was like an all sided lens concentrating all joys in the one heart of his consciousness.
6295_64301_000004_000001	Earth was gone, and heaven was all.	Earth was gone, and heaven was all.
6295_64301_000005_000000	When he reached the suburbs, the light of homes was shining through curtains of all colors.	When he reached the suburbs, the light of homes was shining through curtains of all colors.
6295_64301_000007_000000	When he reached Mary's shop, he turned into the court to the kitchen-door.	When he reached Mary's shop, he turned into the court to the kitchen door.
6295_64301_000007_000001	"Through the kitchen to the parlor!" he said.	"Through the kitchen to the parlor!" he said.
6295_64301_000007_000003	O my God--through the mud of me, up to thy righteousness!"	O my God-through the mud of me, up to thy righteousness!"
6295_64301_000009_000001	Mary came half-way to meet him.	Mary came half-way to meet him.
6295_64301_000009_000003	He stepped across the floor, still, stately, and free.	He stepped across the floor, still, stately, and free.
6295_64301_000010_000001	Letty, finding herself not quite equal to the emergency, came in her turn to call Mary: she went as quietly as if she were leaving a tiresome visitor.	Letty, finding herself not quite equal to the emergency, came in her turn to call Mary: she went as quietly as if she were leaving a tiresome visitor.
6295_64301_000010_000002	The music was broken, and Joseph left alone with the dumb instruments.	The music was broken, and Joseph left alone with the dumb instruments.
6295_64301_000012_000000	Mary had not listened long before she found herself strangely moved. Her heart seemed to swell up into her throat, and it was all she could do to keep from weeping.	Mary had not listened long before she found herself strangely moved. Her heart seemed to swell up into her throat, and it was all she could do to keep from weeping.
6295_64301_000012_000001	A little longer and she was compelled to yield, and the silent tears flowed freely.	A little longer and she was compelled to yield, and the silent tears flowed freely.
6295_64301_000012_000002	Letty, too, was overcome--more than ever she had been by music.	Letty, too, was overcome-more than ever she had been by music.
6295_64301_000013_000000	A mood had taken shape in the mind of the blacksmith, and wandered from its home, seeking another country.	A mood had taken shape in the mind of the blacksmith, and wandered from its home, seeking another country.
6295_64301_000013_000003	Thus, in a garment of mood whose color and texture was music, did the soul of Joseph Jasper that evening, like a homeless ghost, come knocking at the door of Mary Marston.	Thus, in a garment of mood whose color and texture was music, did the soul of Joseph Jasper that evening, like a homeless ghost, come knocking at the door of Mary Marston.
6295_64301_000013_000006	It prayed, it wept, it implored.	It prayed, it wept, it implored.
6295_64301_000013_000007	It cried aloud that eternity was very long, and like a great palace without a quiet room.	It cried aloud that eternity was very long, and like a great palace without a quiet room.
6295_64301_000014_000003	On the bough of an apple-tree, in the fair moonlight, sat a nightingale, swaying to and fro like one mad with the wine of his own music, singing as if he wanted to break his heart and have done, for the delight was too much for mortal creature to endure.	On the bough of an apple tree, in the fair moonlight, sat a nightingale, swaying to and fro like one mad with the wine of his own music, singing as if he wanted to break his heart and have done, for the delight was too much for mortal creature to endure.
6295_64301_000015_000004	He that loveth not his brother whom he hath seen, how shall he love God whom he hath not seen?	He that loveth not his brother whom he hath seen, how shall he love God whom he hath not seen?
6295_64301_000016_000001	It broke the enchantment in which Joseph was bound.	It broke the enchantment in which Joseph was bound.
6295_64301_000016_000002	That enchantment had possessed him, usurping as it were the throne of his life, and displacing it; when it ceased, he was not his own master.	That enchantment had possessed him, usurping as it were the throne of his life, and displacing it; when it ceased, he was not his own master.
6295_64301_000016_000005	How it happened he never could tell, but he brought down his violin with a crash against the piano, then somehow stumbled and all but fell.	How it happened he never could tell, but he brought down his violin with a crash against the piano, then somehow stumbled and all but fell.
6295_64301_000016_000008	His violin was broken, but his being was made whole! his treasure taken--type of his self, and a woman given him instead!	His violin was broken, but his being was made whole! his treasure taken-type of his self, and a woman given him instead!
6295_64301_000017_000000	"It's just like him!" he murmured.	"It's just like him!" he murmured.
