2428_83699_000003_000000	AN OLD-FASHIONED CHRISTMAS.	AN old-fashioned CHRISTMAS.
2428_83699_000004_000000	CHAPTER I.	CHAPTER one
2428_83699_000005_000000	THE PROMISE.	THE PROMISE.
2428_83699_000006_000000	"An old-fashioned Christmas.--A lively family will accept a gentleman as paying guest to join them in spending an old-fashioned Christmas in the heart of the country."	"An old-fashioned Christmas.--A lively family will accept a gentleman as paying guest to join them in spending an old-fashioned Christmas in the heart of the country."
2428_83699_000007_000000	That was the advertisement.	That was the advertisement.
2428_83699_000007_000001	It had its points.	It had its points.
2428_83699_000007_000002	I was not sure what, in this case, an old-fashioned Christmas might happen to mean.	I was not sure what, in this case, an old-fashioned Christmas might happen to mean.
2428_83699_000007_000004	Yes!	Yes!
2428_83699_000007_000005	She and her husband, who suffers from melancholia, and all the other complaints which flesh is heir to, and I, dragging through what I call a patent-medicine dinner, and talking of everybody who is dead and gone, or else going, and of nothing else.	She and her husband, who suffers from melancholia, and all the other complaints which flesh is heir to, and I, dragging through what I call a patent medicine dinner, and talking of everybody who is dead and gone, or else going, and of nothing else.
2428_83699_000008_000000	So I wrote to the advertiser.	So I wrote to the advertiser.
2428_83699_000008_000001	The reply was written in a sprawling feminine hand.	The reply was written in a sprawling feminine hand.
2428_83699_000008_000003	It appeared that the terms would be five guineas; but there was no mention of the length of time which that fee would cover.	It appeared that the terms would be five guineas; but there was no mention of the length of time which that fee would cover.
2428_83699_000008_000004	I might arrive, it seemed, on Christmas Eve, but there was no hint as to when I was to go, if ever.	I might arrive, it seemed, on Christmas Eve, but there was no hint as to when I was to go, if ever.
2428_83699_000008_000005	The whole thing was a trifle odd.	The whole thing was a trifle odd.
2428_83699_000008_000006	There was nothing said about the sort of accommodation which would be provided, nothing about the kind of establishment which was maintained, or the table which was kept.	There was nothing said about the sort of accommodation which would be provided, nothing about the kind of establishment which was maintained, or the table which was kept.
2428_83699_000008_000007	No references were offered or asked for.	No references were offered or asked for.
2428_83699_000009_000000	Now it is a remarkable thing that I have always had an extraordinary predilection for the name Madge.	Now it is a remarkable thing that I have always had an extraordinary predilection for the name Madge.
2428_83699_000009_000003	And yet, from my boyhood upward, I have desired to meet one. Here was an opportunity offered.	And yet, from my boyhood upward, I have desired to meet one. Here was an opportunity offered.
2428_83699_000009_000004	She was apparently the careworn mother of a "lively family." Under such circumstances she was hardly likely to be "lively" herself, but her name was Madge, and it was the accident of her Christian name which decided me to go.	She was apparently the careworn mother of a "lively family." Under such circumstances she was hardly likely to be "lively" herself, but her name was Madge, and it was the accident of her Christian name which decided me to go.
2428_83699_000010_000001	No doubt the five guineas were badly wanted; even a "lively family" would be hardly likely to advertise for a perfect stranger to spend Christmas with them if they were not.	No doubt the five guineas were badly wanted; even a "lively family" would be hardly likely to advertise for a perfect stranger to spend Christmas with them if they were not.
2428_83699_000010_000002	I did not expect a princely entertainment.	I did not expect a princely entertainment.
2428_83699_000010_000003	Still I felt that it could hardly be worse than a chop or cousin Lucy; the subjects of her conversation I never cared about when they were alive, and I certainly do not want to talk about them now they are dead.	Still I felt that it could hardly be worse than a chop or cousin Lucy; the subjects of her conversation I never cared about when they were alive, and I certainly do not want to talk about them now they are dead.
2428_83699_000010_000004	As for the "pills" and "drops" with which her husband doses himself between the courses, it makes me ill even to think of them.	As for the "pills" and "drops" with which her husband doses himself between the courses, it makes me ill even to think of them.
2428_83699_000011_000000	On Christmas Eve the weather was abominable.	On Christmas Eve the weather was abominable.
2428_83699_000011_000001	All night it had been blowing and raining.	All night it had been blowing and raining.
2428_83699_000011_000002	In the morning it began to freeze.	In the morning it began to freeze.
2428_83699_000011_000003	By the time the streets were like so many skating rinks it commenced to snow.	By the time the streets were like so many skating rinks it commenced to snow.
2428_83699_000011_000004	And it kept on snowing; that turned out to be quite a record in the way of snow-storms.	And it kept on snowing; that turned out to be quite a record in the way of snow storms.
2428_83699_000011_000005	Hardly the sort of weather to start for an unknown destination "in the heart of the country." But, at the last moment, I did not like to back out.	Hardly the sort of weather to start for an unknown destination "in the heart of the country." But, at the last moment, I did not like to back out.
2428_83699_000011_000006	I said I would go, and I meant to go.	I said I would go, and I meant to go.
2428_83699_000012_000000	I had been idiot enough to load myself with a lot of Christmas presents, without the faintest notion why.	I had been idiot enough to load myself with a lot of Christmas presents, without the faintest notion why.
2428_83699_000012_000001	I had not given a Christmas present for years--there had been no one to give them to.	I had not given a Christmas present for years-there had been no one to give them to.
2428_83699_000012_000003	I am no dealer in poisons.	I am no dealer in poisons.
2428_83699_000013_000000	I knew nothing of the people I was going to.	I knew nothing of the people I was going to.
2428_83699_000013_000001	The youngest member of the family might be twenty, or the oldest ten.	The youngest member of the family might be twenty, or the oldest ten.
2428_83699_000013_000003	Still, if you have not tried your hand at that kind of thing for ever so long, the mere act of purchasing is a pleasure.	Still, if you have not tried your hand at that kind of thing for ever so long, the mere act of purchasing is a pleasure.
2428_83699_000013_000004	That is a fact.	That is a fact.
2428_83699_000014_000001	I felt quite lively myself as I mingled with the Christmas crowd, looking for things which might not turn out to be absolutely preposterous.	I felt quite lively myself as I mingled with the Christmas crowd, looking for things which might not turn out to be absolutely preposterous.
2428_83699_000014_000002	I even bought something for Madge--I mean Mrs. Wilson.	I even bought something for Madge-I mean mrs Wilson.
2428_83699_000014_000003	Of course, I knew that I had no right to do anything of the kind, and was aware that the chances were a hundred to one against my ever presuming to hint at its existence.	Of course, I knew that I had no right to do anything of the kind, and was aware that the chances were a hundred to one against my ever presuming to hint at its existence.
2428_83699_000014_000005	I hoped to goodness that he would not prove to be a hypochondriac, like Lucy's husband.	I hoped to goodness that he would not prove to be a hypochondriac, like Lucy's husband.
2428_83699_000014_000006	I would not give him pills.	I would not give him pills.
2428_83699_000014_000007	What the "lively family" would think of a perfect stranger arriving burdened with rubbish, as if he had known them all their lives, I did not dare to think.	What the "lively family" would think of a perfect stranger arriving burdened with rubbish, as if he had known them all their lives, I did not dare to think.
2428_83699_000014_000008	No doubt they would set him down as a lunatic right away.	No doubt they would set him down as a lunatic right away.
2428_83699_000015_000000	It was a horrible journey.	It was a horrible journey.
2428_83699_000015_000001	The trains were late, and, of course, overcrowded; there was enough luggage in our compartment to have filled it, and still there was one more passenger than there ought to have been; an ill-conditioned old fellow who wanted my hat-box put into the van because it happened to tumble off the rack on to his head.	The trains were late, and, of course, overcrowded; there was enough luggage in our compartment to have filled it, and still there was one more passenger than there ought to have been; an ill conditioned old fellow who wanted my hat box put into the van because it happened to tumble off the rack on to his head.
2428_83699_000015_000002	I pointed out to him that the rack was specially constructed for light luggage, that a hat-box was light luggage, and that if the train jolted, he ought to blame the company, not me.	I pointed out to him that the rack was specially constructed for light luggage, that a hat box was light luggage, and that if the train jolted, he ought to blame the company, not me.
2428_83699_000015_000003	He was impervious to reason.	He was impervious to reason.
2428_83699_000015_000004	His wrangling and jangling so upset me, that I went past the station at which I ought to have changed.	His wrangling and jangling so upset me, that I went past the station at which I ought to have changed.
2428_83699_000015_000005	Then I had to wait three-quarters of an hour for a train to take me back again, only to find that I had missed the one I intended to catch.	Then I had to wait three quarters of an hour for a train to take me back again, only to find that I had missed the one I intended to catch.
2428_83699_000015_000006	So I had to cool my heels for two hours and a half in a wretched cowshed amidst a bitter, whirling snowstorm.	So I had to cool my heels for two hours and a half in a wretched cowshed amidst a bitter, whirling snowstorm.
2428_83699_000015_000007	It is some satisfaction for me to be able to reflect that I made it warm for the officials, however cold I might have been myself.	It is some satisfaction for me to be able to reflect that I made it warm for the officials, however cold I might have been myself.
2428_83699_000016_000000	When the train did start, some forty minutes after scheduled time, it jolted along in a laborious fashion at the rate of about six miles an hour, stopping at every roadside hovel.	When the train did start, some forty minutes after scheduled time, it jolted along in a laborious fashion at the rate of about six miles an hour, stopping at every roadside hovel.
2428_83699_000016_000001	I counted seven in a distance, I am convinced, of less than twenty miles.	I counted seven in a distance, I am convinced, of less than twenty miles.
2428_83699_000016_000002	When at last I reached Crofton, my journey's end, it turned out that the station staff consisted of a half-witted individual, who was stationmaster, porter, and clerk combined, and a hulking lad who did whatever else there was to do.	When at last I reached Crofton, my journey's end, it turned out that the station staff consisted of a half witted individual, who was stationmaster, porter, and clerk combined, and a hulking lad who did whatever else there was to do.
2428_83699_000017_000000	There was a trap at the "Boy and Blunderbuss," but that required fetching.	There was a trap at the "Boy and Blunderbuss," but that required fetching.
2428_83699_000017_000001	Finally the hulking lad was dispatched.	Finally the hulking lad was dispatched.
2428_83699_000017_000004	Never shall I forget the drive, in that miserable cart, through the storm and those pitch black country lanes.	Never shall I forget the drive, in that miserable cart, through the storm and those pitch black country lanes.
2428_83699_000018_000000	"Be you going to stop with they Wilsons?"	"Be you going to stop with they Wilsons?"
2428_83699_000019_000000	"I am."	"I am."
2428_83699_000021_000000	There was something in the tone of his "Ah!" which whetted my curiosity, near the end of my tether though I was.	There was something in the tone of his "Ah!" which whetted my curiosity, near the end of my tether though I was.
2428_83699_000022_000000	"Why do you ask?"	"Why do you ask?"
2428_83699_000023_000000	"It be about time as someone were to stay with them as were a bit capable like."	"It be about time as someone were to stay with them as were a bit capable like."
2428_83699_000024_000001	I did not ask.	I did not ask.
2428_83699_000024_000002	I was beyond it.	I was beyond it.
2428_83699_000024_000003	I was chilled to the bone, wet, tired, hungry.	I was chilled to the bone, wet, tired, hungry.
2428_83699_000024_000004	I had long been wishing that an old-fashioned Christmas had been completely extinct before I had thought of adventuring in quest of one.	I had long been wishing that an old-fashioned Christmas had been completely extinct before I had thought of adventuring in quest of one.
2428_83699_000025_000000	We passed through a gate, which I had to get down to open, along some sort of avenue.	We passed through a gate, which I had to get down to open, along some sort of avenue.
2428_83699_000025_000001	Suddenly the cart pulled up.	Suddenly the cart pulled up.
2428_83699_000026_000000	"Here we be."	"Here we be."
2428_83699_000027_000000	That might be so.	That might be so.
2428_83699_000027_000001	It was a pity he did not add where "here" was.	It was a pity he did not add where "here" was.
2428_83699_000027_000002	There was a great shadow, which possibly did duty for a house, but, if so, there was not a light in any of the windows, and there was nothing visible in the shape of a door.	There was a great shadow, which possibly did duty for a house, but, if so, there was not a light in any of the windows, and there was nothing visible in the shape of a door.
2428_83699_000027_000003	The whereabouts of this, however, the driver presently made clear.	The whereabouts of this, however, the driver presently made clear.
2428_83699_000028_000002	If they have, there's a bell on your right, if it isn't broken."	If they have, there's a bell on your right, if it isn't broken."
2428_83699_000029_000000	There appeared to be no knocker, though whether it had been "twisted" off was more than I could say.	There appeared to be no knocker, though whether it had been "twisted" off was more than I could say.
2428_83699_000029_000002	I heard it tinkle in the distance.	I heard it tinkle in the distance.
2428_83699_000029_000003	No answer; though I allowed a more than decent interval.	No answer; though I allowed a more than decent interval.
2428_83699_000030_000000	"Better ring again," suggested the driver.	"Better ring again," suggested the driver.
2428_83699_000030_000001	"Hard.	"Hard.
2428_83699_000030_000002	Maybe they're up to some of their games, and wants rousing."	Maybe they're up to some of their games, and wants rousing."
2428_83699_000031_000000	Was there a chuckle in the fellow's voice?	Was there a chuckle in the fellow's voice?
2428_83699_000031_000001	I rang again, and again with all the force I could.	I rang again, and again with all the force I could.
2428_83699_000031_000002	The bell reverberated through what seemed like an empty house.	The bell reverberated through what seemed like an empty house.
2428_83699_000032_000000	"Is there no one in the place?"	"Is there no one in the place?"
2428_83699_000033_000001	Where's another thing.	Where's another thing.
2428_83699_000033_000003	If they know you're coming perhaps they hear and don't choose to answer.	If they know you're coming perhaps they hear and don't choose to answer.
2428_83699_000033_000004	Better ring again."	Better ring again."
2428_83699_000034_000000	I sounded another peal.	I sounded another peal.
2428_83699_000034_000001	Presently feet were heard advancing along the passage--several pairs it seemed--and a light gleamed through the window over the door.	Presently feet were heard advancing along the passage-several pairs it seemed-and a light gleamed through the window over the door.
2428_83699_000034_000002	A voice inquired: "Who's there?"	A voice inquired: "Who's there?"
2428_83699_000035_000000	"Mr. Christopher, from London."	"mr Christopher, from London."
2428_83699_000036_000000	The information was greeted with what sounded uncommonly like a chorus of laughter.	The information was greeted with what sounded uncommonly like a chorus of laughter.
2428_83699_000036_000001	There was a rush of retreating feet, an expostulating voice, then darkness again, and silence.	There was a rush of retreating feet, an expostulating voice, then darkness again, and silence.
2428_83699_000037_000001	Are the people mad?"	Are the people mad?"
2428_83699_000038_000000	"Well--thereabouts."	"Well-thereabouts."
2428_83699_000039_000000	Once more I suspected the driver of a chuckle.	Once more I suspected the driver of a chuckle.
2428_83699_000039_000001	My temper was rising.	My temper was rising.
2428_83699_000039_000002	I had not come all that way, and subjected myself to so much discomfort, to be played tricks with.	I had not come all that way, and subjected myself to so much discomfort, to be played tricks with.
2428_83699_000039_000003	I tolled the bell again.	I tolled the bell again.
2428_83699_000039_000004	After a few seconds' interval the pit-pat of what was obviously one pair of feet came towards the door.	After a few seconds' interval the pit pat of what was obviously one pair of feet came towards the door.
2428_83699_000039_000005	Again a light gleamed through the pane.	Again a light gleamed through the pane.
2428_83699_000039_000007	After a vast amount of unfastening, the door was opened, and on the threshold there stood a girl, with a lighted candle in her hand.	After a vast amount of unfastening, the door was opened, and on the threshold there stood a girl, with a lighted candle in her hand.
2428_83699_000039_000008	The storm rushed in; she put up her hand to shield the light from danger.	The storm rushed in; she put up her hand to shield the light from danger.
2428_83699_000040_000000	"Can I see Mrs. Wilson?	"Can I see mrs Wilson?
2428_83699_000040_000001	I'm expected.	I'm expected.
2428_83699_000042_000000	That was all she said.	That was all she said.
2428_83699_000042_000001	I looked at her; she at me.	I looked at her; she at me.
2428_83699_000042_000002	The driver's voice came from the background.	The driver's voice came from the background.
2428_83699_000043_000000	"I drove him over from the station, Miss.	"I drove him over from the station, Miss.
2428_83699_000043_000001	There be a lot of luggage. He do say he's come to stay with you."	There be a lot of luggage. He do say he's come to stay with you."
2428_83699_000044_000001	I'm afraid I can offer you nothing to drink.	I'm afraid I can offer you nothing to drink.
2428_83699_000044_000002	We've lost the key of the cellar, and there's nothing out, except water, and I don't think you'd care for that."	We've lost the key of the cellar, and there's nothing out, except water, and I don't think you'd care for that."
2428_83699_000045_000000	"I can't say rightly as how I should, Miss.	"I can't say rightly as how I should, Miss.
2428_83699_000045_000001	Next time will do.	Next time will do.
2428_83699_000045_000002	Be it all right?"	Be it all right?"
2428_83699_000047_000000	"Perhaps you had better come inside."	"Perhaps you had better come inside."
2428_83699_000048_000000	"I think I had."	"I think I had."
2428_83699_000049_000000	I went inside; it was time.	I went inside; it was time.
2428_83699_000050_000000	"Have you any luggage?" I admitted that I had.	"Have you any luggage?" I admitted that I had.
2428_83699_000050_000001	"Perhaps it had better be brought in."	"Perhaps it had better be brought in."
2428_83699_000052_000000	"Do you think that you could manage, Tidy?"	"Do you think that you could manage, Tidy?"
2428_83699_000053_000000	"The mare, she'll stand still enough.	"The mare, she'll stand still enough.
