8297_275155_000002_000000	Chapter XL.	Chapter forty.
8297_275155_000002_000001	Keep Your Temper.	Keep Your Temper.
8297_275155_000003_000001	His prospects of success, in pleading for a favorable reception of his brother's message, were so uncertain that he refrained--in fear of raising hopes which he might not be able to justify--from taking Herbert into his confidence.	His prospects of success, in pleading for a favorable reception of his brother's message, were so uncertain that he refrained-in fear of raising hopes which he might not be able to justify-from taking Herbert into his confidence.
8297_275155_000003_000002	No one knew on what errand he was bent, when he left the house.	No one knew on what errand he was bent, when he left the house.
8297_275155_000003_000003	As he took his place in the carriage, the newspaper boy appeared at the window as usual.	As he took his place in the carriage, the newspaper boy appeared at the window as usual.
8297_275155_000003_000004	The new number of a popular weekly journal had that day been published.	The new number of a popular weekly journal had that day been published.
8297_275155_000003_000005	Randal bought it.	Randal bought it.
8297_275155_000004_000000	After reading one or two of the political articles, he arrived at the columns specially devoted to "Fashionable Intelligence." Caring nothing for that sort of news, he was turning over the pages in search of the literary and dramatic articles, when a name not unfamiliar to him caught his eye.	After reading one or two of the political articles, he arrived at the columns specially devoted to "Fashionable Intelligence." Caring nothing for that sort of news, he was turning over the pages in search of the literary and dramatic articles, when a name not unfamiliar to him caught his eye.
8297_275155_000004_000001	He read the paragraph in which it appeared.	He read the paragraph in which it appeared.
8297_275155_000005_000001	It is whispered that the lady is to be shortly united to a retired naval officer of Arctic fame; now better known, perhaps, as one of our leading philanthropists."	It is whispered that the lady is to be shortly united to a retired naval officer of Arctic fame; now better known, perhaps, as one of our leading philanthropists."
8297_275155_000006_000000	The allusion to Bennydeck was too plain to be mistaken.	The allusion to Bennydeck was too plain to be mistaken.
8297_275155_000006_000001	Randal looked again at the first words in the paragraph.	Randal looked again at the first words in the paragraph.
8297_275155_000006_000002	"The charming widow!" Was it possible that this last word referred to Catherine?	"The charming widow!" Was it possible that this last word referred to Catherine?
8297_275155_000006_000004	With his own suspicions steadily contradicting him, he arrived at the hotel, obstinately believing that "the charming widow" would prove to be a stranger.	With his own suspicions steadily contradicting him, he arrived at the hotel, obstinately believing that "the charming widow" would prove to be a stranger.
8297_275155_000007_000001	Mrs. Presty was at home; she was reported to be in the garden of the hotel.	mrs Presty was at home; she was reported to be in the garden of the hotel.
8297_275155_000008_000000	Randal found her comfortably established in a summerhouse, with her knitting in her hands, and a newspaper on her lap.	Randal found her comfortably established in a summerhouse, with her knitting in her hands, and a newspaper on her lap.
8297_275155_000008_000001	She advanced to meet him, all smiles and amiability.	She advanced to meet him, all smiles and amiability.
