1993_147966_000002_000000	XIII	thirteen
1993_147966_000003_000001	The soft black earth stood out in patches along the roadsides.	The soft black earth stood out in patches along the roadsides.
1993_147966_000004_000002	In the kitchen she caught up an iron pot that stood on the back of the stove and said: "You got many, Shimerdas no got." I thought it weak-minded of grandmother to give the pot to her.	In the kitchen she caught up an iron pot that stood on the back of the stove and said: "You got many, Shimerdas no got." I thought it weak minded of grandmother to give the pot to her.
1993_147966_000005_000000	After dinner, when she was helping to wash the dishes, she said, tossing her head: "You got many things for cook.	After dinner, when she was helping to wash the dishes, she said, tossing her head: "You got many things for cook.
1993_147966_000005_000001	If I got all things like you, I make much better."	If I got all things like you, I make much better."
1993_147966_000006_000001	I was so annoyed that I felt coldly even toward Antonia and listened unsympathetically when she told me her father was not well.	I was so annoyed that I felt coldly even toward Antonia and listened unsympathetically when she told me her father was not well.
1993_147966_000007_000001	He not look good.	He not look good.
1993_147966_000007_000002	He never make music any more.	He never make music any more.
1993_147966_000007_000003	At home he play violin all the time; for weddings and for dance. Here never.	At home he play violin all the time; for weddings and for dance. Here never.
1993_147966_000007_000004	When I beg him for play, he shake his head no.	When I beg him for play, he shake his head no
1993_147966_000007_000005	Some days he take his violin out of his box and make with his fingers on the strings, like this, but never he make the music.	Some days he take his violin out of his box and make with his fingers on the strings, like this, but never he make the music.
1993_147966_000008_000001	"We don't make them come here."	"We don't make them come here."
1993_147966_000009_000004	But my mama, she want Ambrosch for be rich, with many cattle."	But my mama, she want Ambrosch for be rich, with many cattle."
1993_147966_000011_000000	"Your grandfather is rich," she retorted fiercely.	"Your grandfather is rich," she retorted fiercely.
1993_147966_000011_000002	Ambrosch be rich, too, after while, and he pay back.	Ambrosch be rich, too, after while, and he pay back.
1993_147966_000011_000003	He is very smart boy.	He is very smart boy.
1993_147966_000011_000004	For Ambrosch my mama come here."	For Ambrosch my mama come here."
1993_147966_000012_000003	Though Antonia loved her father more than she did any one else, she stood in awe of her elder brother.	Though Antonia loved her father more than she did any one else, she stood in awe of her elder brother.
1993_147966_000014_000000	Grandmother chuckled and drove her bright needle across a hole in Otto's sock.	Grandmother chuckled and drove her bright needle across a hole in Otto's sock.
1993_147966_000014_000005	Now read me a chapter in 'The Prince of the House of David.' Let's forget the Bohemians."	Now read me a chapter in 'The Prince of the House of David.' Let's forget the Bohemians."
1993_147966_000015_000000	We had three weeks of this mild, open weather.	We had three weeks of this mild, open weather.
1993_147966_000015_000001	The cattle in the corral ate corn almost as fast as the men could shell it for them, and we hoped they would be ready for an early market.	The cattle in the corral ate corn almost as fast as the men could shell it for them, and we hoped they would be ready for an early market.
1993_147966_000015_000002	One morning the two big bulls, Gladstone and Brigham Young, thought spring had come, and they began to tease and butt at each other across the barbed wire that separated them. Soon they got angry.	One morning the two big bulls, Gladstone and Brigham Young, thought spring had come, and they began to tease and butt at each other across the barbed wire that separated them. Soon they got angry.
1993_147966_000015_000003	They bellowed and pawed up the soft earth with their hoofs, rolling their eyes and tossing their heads.	They bellowed and pawed up the soft earth with their hoofs, rolling their eyes and tossing their heads.
1993_147966_000015_000004	Each withdrew to a far corner of his own corral, and then they made for each other at a gallop. Thud, thud, we could hear the impact of their great heads, and their bellowing shook the pans on the kitchen shelves.	Each withdrew to a far corner of his own corral, and then they made for each other at a gallop. Thud, thud, we could hear the impact of their great heads, and their bellowing shook the pans on the kitchen shelves.
1993_147966_000015_000005	Had they not been dehorned, they would have torn each other to pieces.	Had they not been dehorned, they would have torn each other to pieces.
1993_147966_000015_000007	Clearly, the affair had to be stopped.	Clearly, the affair had to be stopped.
1993_147966_000016_000001	When I went down to breakfast that morning, Jake and Otto came in white as snow-men, beating their hands and stamping their feet.	When I went down to breakfast that morning, Jake and Otto came in white as snow men, beating their hands and stamping their feet.
1993_147966_000017_000000	"You've got a birthday present this time, Jim, and no mistake.	"You've got a birthday present this time, Jim, and no mistake.
1993_147966_000018_000001	The snow did not fall this time, it simply spilled out of heaven, like thousands of feather-beds being emptied.	The snow did not fall this time, it simply spilled out of heaven, like thousands of feather beds being emptied.
1993_147966_000019_000003	We could not so much as see the corrals, but we knew the steers were over there, huddled together under the north bank. Our ferocious bulls, subdued enough by this time, were probably warming each other's backs.	We could not so much as see the corrals, but we knew the steers were over there, huddled together under the north bank. Our ferocious bulls, subdued enough by this time, were probably warming each other's backs.
1993_147966_000019_000004	"This'll take the bile out of 'em!" Fuchs remarked gleefully.	"This'll take the bile out of 'em!" Fuchs remarked gleefully.
1993_147966_000020_000000	At noon that day the hens had not been heard from.	At noon that day the hens had not been heard from.
1993_147966_000020_000001	After dinner Jake and Otto, their damp clothes now dried on them, stretched their stiff arms and plunged again into the drifts.	After dinner Jake and Otto, their damp clothes now dried on them, stretched their stiff arms and plunged again into the drifts.
1993_147966_000020_000003	We found the chickens asleep; perhaps they thought night had come to stay.	We found the chickens asleep; perhaps they thought night had come to stay.
1993_147966_000020_000007	By five o'clock the chores were done--just when it was time to begin them all over again!	By five o'clock the chores were done-just when it was time to begin them all over again!
