2277_149897_000004_000000	CHAPTER XXV	CHAPTER twenty five
2277_149897_000005_000000	ASHES OF TINDER: THE LOOSING OF STAYS	ASHES OF TINDER: THE LOOSING OF STAYS
2277_149897_000006_000000	When Hurstwood got back to his office again he was in a greater quandary than ever.	When Hurstwood got back to his office again he was in a greater quandary than ever.
2277_149897_000006_000001	Lord, Lord, he thought, what had he got into?	Lord, Lord, he thought, what had he got into?
2277_149897_000006_000002	How could things have taken such a violent turn, and so quickly?	How could things have taken such a violent turn, and so quickly?
2277_149897_000006_000003	He could hardly realise how it had all come about.	He could hardly realise how it had all come about.
2277_149897_000006_000004	It seemed a monstrous, unnatural, unwarranted condition which had suddenly descended upon him without his let or hindrance.	It seemed a monstrous, unnatural, unwarranted condition which had suddenly descended upon him without his let or hindrance.
2277_149897_000007_000000	Meanwhile he gave a thought now and then to Carrie.	Meanwhile he gave a thought now and then to Carrie.
2277_149897_000007_000001	What could be the trouble in that quarter?	What could be the trouble in that quarter?
2277_149897_000007_000002	No letter had come, no word of any kind, and yet here it was late in the evening and she had agreed to meet him that morning.	No letter had come, no word of any kind, and yet here it was late in the evening and she had agreed to meet him that morning.
2277_149897_000007_000004	He saw that in the excitement of recent events he had not formulated a plan upon that score.	He saw that in the excitement of recent events he had not formulated a plan upon that score.
2277_149897_000007_000005	He was desperately in love, and would have taken great chances to win her under ordinary circumstances, but now--now what? Supposing she had found out something?	He was desperately in love, and would have taken great chances to win her under ordinary circumstances, but now-now what? Supposing she had found out something?
2277_149897_000007_000007	It would be just like this to happen as things were going now. Meanwhile he had not sent the money.	It would be just like this to happen as things were going now. Meanwhile he had not sent the money.
2277_149897_000008_000000	He strolled up and down the polished floor of the resort, his hands in his pockets, his brow wrinkled, his mouth set.	He strolled up and down the polished floor of the resort, his hands in his pockets, his brow wrinkled, his mouth set.
2277_149897_000008_000001	He was getting some vague comfort out of a good cigar, but it was no panacea for the ill which affected him.	He was getting some vague comfort out of a good cigar, but it was no panacea for the ill which affected him.
2277_149897_000008_000002	Every once in a while he would clinch his fingers and tap his foot--signs of the stirring mental process he was undergoing.	Every once in a while he would clinch his fingers and tap his foot-signs of the stirring mental process he was undergoing.
2277_149897_000008_000004	He drank more brandy and soda than he had any evening in months.	He drank more brandy and soda than he had any evening in months.
2277_149897_000008_000005	He was altogether a fine example of great mental perturbation.	He was altogether a fine example of great mental perturbation.
2277_149897_000009_000000	For all his study nothing came of the evening except this--he sent the money.	For all his study nothing came of the evening except this-he sent the money.
2277_149897_000009_000001	It was with great opposition, after two or three hours of the most urgent mental affirmation and denial, that at last he got an envelope, placed in it the requested amount, and slowly sealed it up.	It was with great opposition, after two or three hours of the most urgent mental affirmation and denial, that at last he got an envelope, placed in it the requested amount, and slowly sealed it up.
2277_149897_000011_000000	"You take this to this address," he said, handing him the envelope, "and give it to Mrs. Hurstwood."	"You take this to this address," he said, handing him the envelope, "and give it to mrs Hurstwood."
2277_149897_000012_000000	"Yes, sir," said the boy.	"Yes, sir," said the boy.
2277_149897_000013_000000	"If she isn't there bring it back."	"If she isn't there bring it back."
2277_149897_000014_000000	"Yes, sir."	"Yes, sir."
2277_149897_000015_000000	"You've seen my wife?" he asked as a precautionary measure as the boy turned to go.	"You've seen my wife?" he asked as a precautionary measure as the boy turned to go.
2277_149897_000016_000000	"Oh, yes, sir.	"Oh, yes, sir.
2277_149897_000016_000001	I know her."	I know her."
2277_149897_000017_000000	"All right, now.	"All right, now.
2277_149897_000017_000001	Hurry right back."	Hurry right back."
2277_149897_000018_000000	"Any answer?"	"Any answer?"
2277_149897_000019_000000	"I guess not."	"I guess not."
2277_149897_000020_000000	The boy hastened away and the manager fell to his musings.	The boy hastened away and the manager fell to his musings.
2277_149897_000020_000001	Now he had done it.	Now he had done it.
2277_149897_000020_000002	There was no use speculating over that.	There was no use speculating over that.
2277_149897_000020_000003	He was beaten for to-night and he might just as well make the best of it.	He was beaten for to night and he might just as well make the best of it.
2277_149897_000020_000004	But, oh, the wretchedness of being forced this way!	But, oh, the wretchedness of being forced this way!
2277_149897_000020_000005	He could see her meeting the boy at the door and smiling sardonically.	He could see her meeting the boy at the door and smiling sardonically.
2277_149897_000020_000006	She would take the envelope and know that she had triumphed.	She would take the envelope and know that she had triumphed.
2277_149897_000020_000008	He breathed heavily and wiped the moisture from his face.	He breathed heavily and wiped the moisture from his face.
2277_149897_000021_000001	He tried to get the interest of things about him, but it was not to be.	He tried to get the interest of things about him, but it was not to be.
2277_149897_000022_000000	In about an hour and three-quarters the boy returned.	In about an hour and three quarters the boy returned.
2277_149897_000022_000001	He had evidently delivered the package, for, as he came up, he made no sign of taking anything out of his pocket.	He had evidently delivered the package, for, as he came up, he made no sign of taking anything out of his pocket.
2277_149897_000023_000000	"Well?" said Hurstwood.	"Well?" said Hurstwood.
2277_149897_000024_000000	"I gave it to her."	"I gave it to her."
2277_149897_000025_000000	"My wife?"	"My wife?"
2277_149897_000026_000000	"Yes, sir."	"Yes, sir."
2277_149897_000027_000000	"Any answer?"	"Any answer?"
2277_149897_000028_000000	"She said it was high time."	"She said it was high time."
2277_149897_000029_000000	Hurstwood scowled fiercely.	Hurstwood scowled fiercely.
2277_149897_000030_000000	There was no more to be done upon that score that night.	There was no more to be done upon that score that night.
2277_149897_000030_000002	He wondered what the morning would bring forth, and slept anything but soundly upon it.	He wondered what the morning would bring forth, and slept anything but soundly upon it.
2277_149897_000031_000000	Next day he went again to the office and opened his mail, suspicious and hopeful of its contents.	Next day he went again to the office and opened his mail, suspicious and hopeful of its contents.
2277_149897_000031_000001	No word from Carrie.	No word from Carrie.
2277_149897_000031_000002	Nothing from his wife, which was pleasant.	Nothing from his wife, which was pleasant.
2277_149897_000032_000000	The fact that he had sent the money and that she had received it worked to the ease of his mind, for, as the thought that he had done it receded, his chagrin at it grew less and his hope of peace more.	The fact that he had sent the money and that she had received it worked to the ease of his mind, for, as the thought that he had done it receded, his chagrin at it grew less and his hope of peace more.
2277_149897_000032_000001	He fancied, as he sat at his desk, that nothing would be done for a week or two.	He fancied, as he sat at his desk, that nothing would be done for a week or two.
2277_149897_000032_000002	Meanwhile, he would have time to think.	Meanwhile, he would have time to think.
2277_149897_000033_000001	How about that now?	How about that now?
2277_149897_000033_000003	He decided to write her care of the West Side Post-office and ask for an explanation, as well as to have her meet him.	He decided to write her care of the West Side Post office and ask for an explanation, as well as to have her meet him.
2277_149897_000033_000004	The thought that this letter would probably not reach her until Monday chafed him exceedingly.	The thought that this letter would probably not reach her until Monday chafed him exceedingly.
2277_149897_000033_000005	He must get some speedier method--but how?	He must get some speedier method-but how?
2277_149897_000035_000000	The hours slipped by, and with them the possibility of the union he had contemplated.	The hours slipped by, and with them the possibility of the union he had contemplated.
2277_149897_000035_000002	Three o'clock came, four, five, six, and no letter.	Three o'clock came, four, five, six, and no letter.
2277_149897_000035_000004	It was the worst Sunday he had spent in his life.	It was the worst Sunday he had spent in his life.
2277_149897_000037_000000	He read it through carefully several times, and then merely shook his head.	He read it through carefully several times, and then merely shook his head.
2277_149897_000037_000001	It seemed as if his family troubles were just beginning.	It seemed as if his family troubles were just beginning.
2277_149897_000038_000000	"Well!" he said after a time, quite audibly, "I don't know."	"Well!" he said after a time, quite audibly, "I don't know."
2277_149897_000039_000000	Then he folded it up and put it in his pocket.	Then he folded it up and put it in his pocket.
2277_149897_000040_000000	To add to his misery there was no word from Carrie.	To add to his misery there was no word from Carrie.
2277_149897_000040_000001	He was quite certain now that she knew he was married and was angered at his perfidy.	He was quite certain now that she knew he was married and was angered at his perfidy.
2277_149897_000040_000003	He thought he would go out and insist on seeing her if she did not send him word of some sort soon.	He thought he would go out and insist on seeing her if she did not send him word of some sort soon.
2277_149897_000040_000004	He was really affected most miserably of all by this desertion.	He was really affected most miserably of all by this desertion.
2277_149897_000040_000005	He had loved her earnestly enough, but now that the possibility of losing her stared him in the face she seemed much more attractive.	He had loved her earnestly enough, but now that the possibility of losing her stared him in the face she seemed much more attractive.
2277_149897_000040_000006	He really pined for a word, and looked out upon her with his mind's eye in the most wistful manner.	He really pined for a word, and looked out upon her with his mind's eye in the most wistful manner.
2277_149897_000040_000007	He did not propose to lose her, whatever she might think.	He did not propose to lose her, whatever she might think.
2277_149897_000040_000008	Come what might, he would adjust this matter, and soon.	Come what might, he would adjust this matter, and soon.
2277_149897_000040_000009	He would go to her and tell her all his family complications. He would explain to her just where he stood and how much he needed her. Surely she couldn't go back on him now?	He would go to her and tell her all his family complications. He would explain to her just where he stood and how much he needed her. Surely she couldn't go back on him now?
2277_149897_000040_000010	It wasn't possible.	It wasn't possible.
2277_149897_000040_000011	He would plead until her anger would melt--until she would forgive him.	He would plead until her anger would melt-until she would forgive him.
2277_149897_000041_000000	Suddenly he thought: "Supposing she isn't out there--suppose she has gone?"	Suddenly he thought: "Supposing she isn't out there-suppose she has gone?"
2277_149897_000042_000000	He was forced to take his feet.	He was forced to take his feet.
2277_149897_000042_000001	It was too much to think of and sit still.	It was too much to think of and sit still.
2277_149897_000043_000000	Nevertheless, his rousing availed him nothing.	Nevertheless, his rousing availed him nothing.
2277_149897_000044_000001	He did manage to bring himself into the mood to go out to Carrie, but when he got in Ogden Place he thought he saw a man watching him and went away.	He did manage to bring himself into the mood to go out to Carrie, but when he got in Ogden Place he thought he saw a man watching him and went away.
2277_149897_000044_000002	He did not go within a block of the house.	He did not go within a block of the house.
2277_149897_000045_000000	One of the galling incidents of this visit was that he came back on a Randolph Street car, and without noticing arrived almost opposite the building of the concern with which his son was connected.	One of the galling incidents of this visit was that he came back on a Randolph Street car, and without noticing arrived almost opposite the building of the concern with which his son was connected.
2277_149897_000045_000001	This sent a pang through his heart.	This sent a pang through his heart.
2277_149897_000045_000003	His absence did not seem to be noticed by either of his children.	His absence did not seem to be noticed by either of his children.
2277_149897_000045_000004	Well, well, fortune plays a man queer tricks.	Well, well, fortune plays a man queer tricks.
2277_149897_000045_000005	He got back to his office and joined in a conversation with friends.	He got back to his office and joined in a conversation with friends.
2277_149897_000046_000000	That night he dined at Rector's and returned at once to his office.	That night he dined at Rector's and returned at once to his office.
2277_149897_000046_000001	In the bustle and show of the latter was his only relief.	In the bustle and show of the latter was his only relief.
2277_149897_000046_000002	He troubled over many little details and talked perfunctorily to everybody.	He troubled over many little details and talked perfunctorily to everybody.
2277_149897_000046_000003	He stayed at his desk long after all others had gone, and only quitted it when the night watchman on his round pulled at the front door to see if it was safely locked.	He stayed at his desk long after all others had gone, and only quitted it when the night watchman on his round pulled at the front door to see if it was safely locked.
2277_149897_000047_000000	On Wednesday he received another polite note from McGregor, James and Hay.	On Wednesday he received another polite note from McGregor, james and Hay.
2277_149897_000047_000001	It read:	It read:
2277_149897_000049_000000	"Very truly yours, etc."	"Very truly yours, etc"
2277_149897_000050_000000	"Compromise!" exclaimed Hurstwood bitterly.	"Compromise!" exclaimed Hurstwood bitterly.
2277_149897_000052_000000	So here it was spread out clear before him, and now he knew what to expect.	So here it was spread out clear before him, and now he knew what to expect.
2277_149897_000052_000001	If he didn't go and see them they would sue him promptly.	If he didn't go and see them they would sue him promptly.
2277_149897_000052_000002	If he did, he would be offered terms that would make his blood boil.	If he did, he would be offered terms that would make his blood boil.
2277_149897_000052_000003	He folded the letter and put it with the other one.	He folded the letter and put it with the other one.
