7850_286674_000000_000000	THE DRAGON-FLY CHILDREN AND THE SNAPPING TURTLE	THE DRAGON FLY CHILDREN AND THE SNAPPING TURTLE
7850_286674_000001_000000	The Dragon-Flies have always lived near the pond.	The Dragon Flies have always lived near the pond.
7850_286674_000001_000001	Not the same ones that are there now, of course, but the great-great-great-grandfathers of these.	Not the same ones that are there now, of course, but the great great great grandfathers of these.
7850_286674_000001_000002	A person would think that, after a family had lived so long in a place, all the neighbors would be fond of them, yet it is not so.	A person would think that, after a family had lived so long in a place, all the neighbors would be fond of them, yet it is not so.
7850_286674_000001_000003	The Dragon-Flies may be very good people--and even the Snapping Turtle says that they are--still, they are so peculiar that many of their neighbors do not like them at all.	The Dragon Flies may be very good people-and even the Snapping Turtle says that they are-still, they are so peculiar that many of their neighbors do not like them at all.
7850_286674_000001_000004	Even when they are only larvae, or babies, they are not good playmates, for they have such a bad habit of putting everything into their mouths.	Even when they are only larvae, or babies, they are not good playmates, for they have such a bad habit of putting everything into their mouths.
7850_286674_000001_000005	Indeed, the Stickleback Father once told the little Sticklebacks that they should not stir out of the nest, unless they would promise to keep away from the young Dragon-Flies.	Indeed, the Stickleback Father once told the little Sticklebacks that they should not stir out of the nest, unless they would promise to keep away from the young Dragon Flies.
7850_286674_000002_000000	The Stickleback Mothers said that it was all the fault of the Dragon-Fly Mothers.	The Stickleback Mothers said that it was all the fault of the Dragon Fly Mothers.
7850_286674_000002_000001	"What can you expect," exclaimed one of them, "when Dragon-Fly eggs are so carelessly laid?	"What can you expect," exclaimed one of them, "when Dragon Fly eggs are so carelessly laid?
7850_286674_000002_000002	I saw a Dragon-Fly Mother laying some only yesterday, and how do you suppose she did it?	I saw a Dragon Fly Mother laying some only yesterday, and how do you suppose she did it?
7850_286674_000002_000003	Just flew around in the sunshine and visited with her friends, and once in a while flew low enough to touch the water and drop one in.	Just flew around in the sunshine and visited with her friends, and once in a while flew low enough to touch the water and drop one in.
7850_286674_000002_000004	It is disgraceful!"	It is disgraceful!"
7850_286674_000003_000000	The Minnow Mothers did not think it was so much in the way the eggs were laid, "although," said one, "I always lay mine close together, instead of scattering them over the whole pond." They thought the trouble came from bad bringing up or no bringing up at all.	The Minnow Mothers did not think it was so much in the way the eggs were laid, "although," said one, "I always lay mine close together, instead of scattering them over the whole pond." They thought the trouble came from bad bringing up or no bringing up at all.
7850_286674_000004_000000	Now most of the larvae were turning into Nymphs, which are half-grown Dragon Flies.	Now most of the larvae were turning into Nymphs, which are half grown Dragon Flies.
7850_286674_000004_000001	They had been short and plump, and now they were longer and more slender, and there were little bunches on their shoulders where the wings were growing under their skin.	They had been short and plump, and now they were longer and more slender, and there were little bunches on their shoulders where the wings were growing under their skin.
7850_286674_000004_000002	They had outgrown their old skins a great many times, and had to wriggle out of them to be at all comfortable.	They had outgrown their old skins a great many times, and had to wriggle out of them to be at all comfortable.
7850_286674_000005_000000	Like most growing children, the Dragon-Fly larvae and Nymphs had to eat a great deal.	Like most growing children, the Dragon Fly larvae and Nymphs had to eat a great deal.
7850_286674_000005_000001	Their stomachs were as long as their bodies, and they were never really happy unless their stomachs were full.	Their stomachs were as long as their bodies, and they were never really happy unless their stomachs were full.
7850_286674_000005_000002	They always ate plain food and plenty of it, and they never ate between meals.	They always ate plain food and plenty of it, and they never ate between meals.
7850_286674_000005_000003	They had breakfast from the time they awakened in the morning until the sun was high in the sky, then they had dinner until the sun was low in the sky, and supper from that time until it grew dark and they went to sleep: but never a mouthful between meals, no matter how hungry they might be.	They had breakfast from the time they awakened in the morning until the sun was high in the sky, then they had dinner until the sun was low in the sky, and supper from that time until it grew dark and they went to sleep: but never a mouthful between meals, no matter how hungry they might be.
7850_286674_000006_000000	They were always slow children.	They were always slow children.
7850_286674_000006_000001	You would think that, with six legs apiece and three joints in each leg, they might walk quite fast, yet they never did.	You would think that, with six legs apiece and three joints in each leg, they might walk quite fast, yet they never did.
7850_286674_000006_000002	When they had to, they hurried in another way by taking a long leap through the water.	When they had to, they hurried in another way by taking a long leap through the water.
7850_286674_000006_000003	Of course they breathed water like their neighbors, the fishes and the Tadpoles.	Of course they breathed water like their neighbors, the fishes and the Tadpoles.
7850_286674_000006_000004	They did not breathe it into their mouths, or through gills, but took it in through some openings in the back part of their bodies.	They did not breathe it into their mouths, or through gills, but took it in through some openings in the back part of their bodies.
7850_286674_000006_000005	When they wanted to hurry, they breathed this water out so suddenly that it sent them quickly ahead.	When they wanted to hurry, they breathed this water out so suddenly that it sent them quickly ahead.
7850_286674_000007_000001	They all put their queer little three-cornered heads together, and there was an ugly look in their great staring eyes.	They all put their queer little three cornered heads together, and there was an ugly look in their great staring eyes.
7850_286674_000008_000000	"Horrid old thing!" said one larva.	"Horrid old thing!" said one larva.
7850_286674_000008_000001	"I wish I could sting him."	"I wish I could sting him."
