6319_275224_000000_000000	Nor was it broken again.	Nor was it broken again.	false	0	0.75	2
6319_275224_000000_000001	Only once or twice, that year, when the Carrots were gathered, there came up the strangest growths--thick distorted lumps, that had never struck properly down.	Only once or twice, that year, when the Carrots were gathered, there came up the strangest growths-thick distorted lumps, that had never struck properly down.	false	0.75	3.72	27.12599
6319_275224_000001_000000	The gardener wondered, and was vexed, for he prided himself on the digging of the carrot-bed.	The gardener wondered, and was vexed, for he prided himself on the digging of the carrot bed.	false	3.72	4.71	29.011606
6319_275224_000001_000001	"Anything that had had any sense might have gone down into it, he was sure," he said.	"Anything that had had any sense might have gone down into it, he was sure," he said.	false	4.71	4.8	1
6319_275224_000001_000002	And he was not far wrong; but you see the Carrot had had no sense when he began to speculate, and tried to be something he was not intended to be.	And he was not far wrong; but you see the Carrot had had no sense when he began to speculate, and tried to be something he was not intended to be.	false	4.8	12.72	22.155731
6319_275224_000002_000000	Yet the poor clumsy thing was not quite useless after all.	Yet the poor clumsy thing was not quite useless after all.	false	12.72	15.69	26.61749
6319_275224_000002_000001	For, just as the gardener was about to fling it angrily away, he recollected that the cook might use it for soup, though it could not be served up at table--such a shape as it was!...	For, just as the gardener was about to fling it angrily away, he recollected that the cook might use it for soup, though it could not be served up at table-such a shape as it was!...	false	15.69	31.77	25.936008
6319_275224_000003_000000	And this was exactly what she did.	And this was exactly what she did.	false	31.77	35.205	25.589088
6319_275224_000004_000000	THE WIND AND THE FLOWERS	THE WIND AND THE FLOWERS	true	35.205	37.03	26.331432
6319_275224_000005_000000	By Mrs. Alfred Gatty	By mrs Alfred Gatty	true	37.34	39.13	25.299442
6319_275224_000006_000000	"What a fuss is made about you, my dear little friends!" murmured the Wind, one day, to the flowers in a pretty villa garden.	"What a fuss is made about you, my dear little friends!" murmured the Wind, one day, to the flowers in a pretty villa garden.	true	41.9	50.95	21.011202
6319_275224_000006_000001	"I am really quite surprised at your submitting so patiently and meekly to all the troublesome things that are done to you!	"I am really quite surprised at your submitting so patiently and meekly to all the troublesome things that are done to you!	false	51.92	60.16	17
6319_275224_000006_000002	I have been watching your friend the gardener for some time to-day; and now that he is gone at last, I am quite curious to hear what you think and feel about your unnatural bringing up."	I have been watching your friend the gardener for some time to day; and now that he is gone at last, I am quite curious to hear what you think and feel about your unnatural bringing up."	true	60.71	72.84	20
6319_275224_000007_000000	"_Is_ it unnatural?" inquired a beautiful Convolvulus Major, from the top of a tapering fir-pole, up which she had crept, and from which her velvet flowers hung suspended like purple gems.	"underscore Is underscore it unnatural?" inquired a beautiful Convolvulus Major, from the top of a tapering fir pole, up which she had crept, and from which her velvet flowers hung suspended like purple gems.	false	72.84	87.01	23.557089
6319_275224_000008_000000	"I smile at your question," was the answer of the Wind.	"I smile at your question," was the answer of the Wind.	true	87.62	92.11	25.476414
6319_275224_000008_000001	"You surely cannot suppose that in a natural state you would be forced to climb regularly up one tall bare stick such as I see you upon now.	"You surely cannot suppose that in a natural state you would be forced to climb regularly up one tall bare stick such as I see you upon now.	true	92.75	104.5	20.93968
6319_275224_000008_000002	Oh dear, no!	Oh dear, no!	true	104.72	106.69	17.12605
6319_275224_000008_000003	Your cousin, the wild Convolvulus, whom I left in the fields this morning, does no such thing, I assure you.	Your cousin, the wild Convolvulus, whom I left in the fields this morning, does no such thing, I assure you.	true	106.79	114.1	19
6319_275224_000008_000004	She runs along and climbs about, just as the whim takes her.	She runs along and climbs about, just as the whim takes her.	true	114.44	119.53	22.638453
