6345_64257_000000_000000	I will not linger much more over the crumbling time.	I will not linger much more over the crumbling time.	false	0	3.54	21.848232
6345_64257_000000_000001	It is good for those who are in it, specially good for those who come out of it chastened and resolved; but I doubt if any prolonged contemplation of death is desirable for those whose business it now is to live, and whose fate it is ere long to die.	It is good for those who are in it, specially good for those who come out of it chastened and resolved; but I doubt if any prolonged contemplation of death is desirable for those whose business it now is to live, and whose fate it is ere long to die.	false	3.54	10.26	20.012371
6345_64257_000000_000002	It is a closing of God's hand upon us to squeeze some of the bad blood out of us, and, when it relaxes, we must live the more diligently--not to get ready for death, but to get more life.	It is a closing of God's hand upon us to squeeze some of the bad blood out of us, and, when it relaxes, we must live the more diligently-not to get ready for death, but to get more life.	false	10.26	17.25	20.936398
6345_64257_000000_000003	I will relate only one thing yet, belonging to this twilight time.	I will relate only one thing yet, belonging to this twilight time.	false	17.25	21.48	19.693544
6345_64257_000001_000000	CHAPTER XII.	CHAPTER twelve.	true	21.48	22.545	22.467722
6345_64257_000002_000000	MARY'S DREAM.	MARY'S DREAM.	true	22.545	24.13	19.74507
6345_64257_000003_000000	That night, and every night until the dust was laid to the dust, Mary slept well; and through the days she had great composure; but, when the funeral was over, came a collapse and a change.	That night, and every night until the dust was laid to the dust, Mary slept well; and through the days she had great composure; but, when the funeral was over, came a collapse and a change.	true	25.22	38.98	20.780642
6345_64257_000003_000001	The moment it became necessary to look on the world as unchanged, and resume former relations with it, then, first, a fuller sense of her lonely desolation declared itself.	The moment it became necessary to look on the world as unchanged, and resume former relations with it, then, first, a fuller sense of her lonely desolation declared itself.	true	39.14	49.36	16
6345_64257_000003_000002	When she said good night to Beenie, and went to her chamber, over that where the loved parent and friend would fall asleep no more, she felt as if she went walking along to her tomb.	When she said good night to Beenie, and went to her chamber, over that where the loved parent and friend would fall asleep no more, she felt as if she went walking along to her tomb.	true	49.82	60.31	18
6345_64257_000004_000000	That night was the first herald of the coming winter, and blew a cold blast from his horn.	That night was the first herald of the coming winter, and blew a cold blast from his horn.	true	60.95	67.24	21
6345_64257_000004_000001	All day the wind had been out.	All day the wind had been out.	true	67.43	69.28	20.42339
6345_64257_000004_000002	Wildly in the churchyard it had pulled at the long grass, as if it would tear it from its roots in the graves; it had struck vague sounds, as from a hollow world, out of the great bell overhead in the huge tower; and it had beat loud and fierce against the corner-buttresses which went stretching up out of the earth, like arms to hold steady and fast the lighthouse of the dead above the sea which held them drowned below; despairingly had the gray clouds drifted over the sky; and, like white clouds pinioned below, and shadows that could not escape, the surplice of the ministering priest and the garments of the mourners had flapped and fluttered as in captive terror; the only still things were the coffin and the church--and the soul which had risen above the region of storms in the might of Him who abolished death.	Wildly in the churchyard it had pulled at the long grass, as if it would tear it from its roots in the graves; it had struck vague sounds, as from a hollow world, out of the great bell overhead in the huge tower; and it had beat loud and fierce against the corner buttresses which went stretching up out of the earth, like arms to hold steady and fast the lighthouse of the dead above the sea which held them drowned below; despairingly had the gray clouds drifted over the sky; and, like white clouds pinioned below, and shadows that could not escape, the surplice of the ministering priest and the garments of the mourners had flapped and fluttered as in captive terror; the only still things were the coffin and the church-and the soul which had risen above the region of storms in the might of Him who abolished death.	false	69.59	117.97	20
6345_64257_000004_000003	At the time Mary had noted nothing of these things; now she saw them all, as for the first time, in minute detail, while slowly she went up the stair and through the narrowed ways, and heard the same wind that raved alike about the new grave and the old house, into which latter, for all the bales banked against the walls, it found many a chink of entrance.	At the time Mary had noted nothing of these things; now she saw them all, as for the first time, in minute detail, while slowly she went up the stair and through the narrowed ways, and heard the same wind that raved alike about the new grave and the old house, into which latter, for all the bales banked against the walls, it found many a chink of entrance.	false	118.52	139.87	17
6345_64257_000004_000004	The smell of the linen, of the blue cloth, and of the brown paper--things no longer to be handled by those tender, faithful hands--was dismal and strange, and haunted her like things that intruded, things which she had done with, and which yet would not go away.	The smell of the linen, of the blue cloth, and of the brown paper-things no longer to be handled by those tender, faithful hands-was dismal and strange, and haunted her like things that intruded, things which she had done with, and which yet would not go away.	true	140.39	156.76	20
6345_64257_000004_000005	Everything had gone dead, as it seemed, had exhaled the soul of it, and retained but the odor of its mortality.	Everything had gone dead, as it seemed, had exhaled the soul of it, and retained but the odor of its mortality.	true	157.1	163.66	18
6345_64257_000004_000006	If for a moment a thing looked the same as before, she wondered vaguely, unconsciously, how it could be.	If for a moment a thing looked the same as before, she wondered vaguely, unconsciously, how it could be.	true	164.3	170.86	20.606266
6345_64257_000004_000007	The passages through the merchandise, left only wide enough for one, seemed like those she had read of in Egyptian tombs and pyramids: a sarcophagus ought to be waiting in her chamber.	The passages through the merchandise, left only wide enough for one, seemed like those she had read of in Egyptian tombs and pyramids: a sarcophagus ought to be waiting in her chamber.	true	171.2	182.08	16
6345_64257_000004_000008	When she opened the door of it, the bright fire, which Beenie undesired had kindled there, startled her: the room looked unnatural, _uncanny_, because it was cheerful.	When she opened the door of it, the bright fire, which Beenie undesired had kindled there, startled her: the room looked unnatural, underscore uncanny underscore, because it was cheerful.	false	182.39	192.1	22
6345_64257_000004_000009	She stood for a moment on the hearth, and in sad, dreamy mood listened to the howling swoops of the wind, making the house quiver and shake.	She stood for a moment on the hearth, and in sad, dreamy mood listened to the howling swoops of the wind, making the house quiver and shake.	true	192.38	200.95	19
6345_64257_000004_000010	Now and then would come a greater gust, and rattle the window as if in fierce anger at its exclusion, then go shrieking and wailing through the dark heaven.	Now and then would come a greater gust, and rattle the window as if in fierce anger at its exclusion, then go shrieking and wailing through the dark heaven.	false	201.17	210.1	18
6345_64257_000004_000011	Mechanically she took her New Testament, and, seating herself in a low chair by the fire, tried to read; but she could not fix her thoughts, or get the meaning of a sentence: when she had read it, there it lay, looking at her just the same, like an unanswered riddle.	Mechanically she took her New Testament, and, seating herself in a low chair by the fire, tried to read; but she could not fix her thoughts, or get the meaning of a sentence: when she had read it, there it lay, looking at her just the same, like an unanswered riddle.	true	210.41	224.77	18
6345_64257_000005_000000	The region of the senses is the unbelieving part of the human soul; and out of that now began to rise fumes of doubt and question into Mary's heart and brain.	The region of the senses is the unbelieving part of the human soul; and out of that now began to rise fumes of doubt and question into Mary's heart and brain.	true	225.32	235.09	17
6345_64257_000005_000001	Death was a fact.	Death was a fact.	true	235.19	236.71	24.379255
6345_64257_000005_000002	The loss, the evanishment, the ceasing, were incontrovertible--the only incontrovertible things: she was sure of them: could she be sure of anything else?	The loss, the evanishment, the ceasing, were incontrovertible-the only incontrovertible things: she was sure of them: could she be sure of anything else?	true	236.9	247.305	20.471626
6345_64257_000005_000003	How could she? She had not seen Christ rise; she had never looked upon one of the dead; never heard a voice from the other bank; had received no certain testimony.	How could she? She had not seen Christ rise; she had never looked upon one of the dead; never heard a voice from the other bank; had received no certain testimony.	true	247.305	257.2	20.54951
6345_64257_000005_000004	These were not her thoughts; she was too weary to think; they were but the thoughts that steamed up in her, and went floating about before her; she looked on them calmly, coldly, as they came, and passed, or remained--saw them with indifference--there they were, and she could not help it--weariedly, believing none of them, unable to cope with and dispel them, hardly affected by their presence, save with a sense of dreariness and loneliness and wretched company.	These were not her thoughts; she was too weary to think; they were but the thoughts that steamed up in her, and went floating about before her; she looked on them calmly, coldly, as they came, and passed, or remained-saw them with indifference-there they were, and she could not help it-weariedly, believing none of them, unable to cope with and dispel them, hardly affected by their presence, save with a sense of dreariness and loneliness and wretched company.	false	257.54	283.36	21.458246
6345_64257_000005_000005	At last she fell asleep, and in a moment was dreaming diligently.	At last she fell asleep, and in a moment was dreaming diligently.	true	283.55	287.65	20.330418
6345_64257_000005_000006	This was her dream, as nearly as she could recall it, when she came to herself after waking from it with a cry.	This was her dream, as nearly as she could recall it, when she came to herself after waking from it with a cry.	true	288.05	293.53	18
6345_64257_000006_000000	She was one of a large company at a house where she had never been before--a beautiful house with a large garden behind.	She was one of a large company at a house where she had never been before-a beautiful house with a large garden behind.	true	294.26	301.36	21
6345_64257_000006_000001	It was a summer night, and the guests were wandering in and out at will, and through house and garden, amid lovely things of all colors and odors.	It was a summer night, and the guests were wandering in and out at will, and through house and garden, amid lovely things of all colors and odors.	true	301.82	310.45	15
6345_64257_000006_000002	The moon was shining, and the roses were in pale bloom.	The moon was shining, and the roses were in pale bloom.	true	310.91	314.44	18
6345_64257_000006_000003	But she knew nobody, and wandered alone in the garden, oppressed with something she did not understand.	But she knew nobody, and wandered alone in the garden, oppressed with something she did not understand.	true	314.63	320.17	16
6345_64257_000006_000004	Every now and then she came on a little group, or met a party of the guests, as she walked, but none spoke to her, or seemed to see her, and she spoke to none.	Every now and then she came on a little group, or met a party of the guests, as she walked, but none spoke to her, or seemed to see her, and she spoke to none.	true	320.54	329.8	20.391768
6345_64257_000007_000000	She found herself at length in an avenue of dark trees, the end of which was far off.	She found herself at length in an avenue of dark trees, the end of which was far off.	true	330.65	335.67	20
6345_64257_000007_000001	Thither she went walking, the only living thing, crossing strange shadows from the moon.	Thither she went walking, the only living thing, crossing strange shadows from the moon.	false	335.67	341.29	19.898798
6345_64257_000007_000002	At the end of it she was in a place of tombs.	At the end of it she was in a place of tombs.	true	341.78	344.64	22.158585
6345_64257_000007_000003	Terror and a dismay indescribable seized her; she turned and fled back to the company of her kind.	Terror and a dismay indescribable seized her; she turned and fled back to the company of her kind.	true	344.64	351.52	20.318602
6345_64257_000007_000004	But for a long time she sought the house in vain; she could not reach it; the avenue seemed interminable to her feet returning.	But for a long time she sought the house in vain; she could not reach it; the avenue seemed interminable to her feet returning.	true	351.8	358.96	21.156034
6345_64257_000007_000005	At last she was again upon the lawn, but neither man nor woman was there; and in the house only a light here and there was burning.	At last she was again upon the lawn, but neither man nor woman was there; and in the house only a light here and there was burning.	true	359.39	367.245	18.881252
6345_64257_000007_000006	Every guest was gone.	Every guest was gone.	true	367.245	368.83	18.62207
6345_64257_000007_000007	She entered, and the servants, soft-footed and silent, were busy carrying away the vessels of hospitality, and restoring order, as if already they prepared for another company on the morrow.	She entered, and the servants, soft footed and silent, were busy carrying away the vessels of hospitality, and restoring order, as if already they prepared for another company on the morrow.	true	369.08	379.93	17
6345_64257_000007_000008	No one heeded her.	No one heeded her.	true	379.97	381.28	19.522688
6345_64257_000007_000009	She was out of place, and much unwelcome.	She was out of place, and much unwelcome.	true	381.5	384.37	23
6345_64257_000007_000010	She hastened to the door of entrance, for every moment there was a misery.	She hastened to the door of entrance, for every moment there was a misery.	true	384.74	388.905	16
6345_64257_000007_000011	She reached the hall.	She reached the hall.	true	388.905	390.075	18
6345_64257_000007_000012	A strange, shadowy porter opened to her, and she stepped out into a wide street.	A strange, shadowy porter opened to her, and she stepped out into a wide street.	true	390.075	395.32	19
6345_64257_000008_000000	That, too, was silent.	That, too, was silent.	true	395.57	397.57	19.154976
