1272_141231_000002_000000	For my Mother and Father--	For my Mother and Father-
1272_141231_000006_000000	STEPHEN CRANE	STEPHEN CRANE
1272_141231_000007_000003	And when he attacked, it was always there to beat him aside.	And when he attacked, it was always there to beat him aside.
1272_141231_000008_000001	He reacted--but his blade just met air.	He reacted-but his blade just met air.
1272_141231_000010_000000	"One minute," a voice said, and the time buzzer sounded.	"One minute," a voice said, and the time buzzer sounded.
1272_141231_000011_000000	Brion had carefully conditioned the reflex in himself.	Brion had carefully conditioned the reflex in himself.
1272_141231_000011_000002	The buzzer's whirr triggered his muscles into complete relaxation.	The buzzer's whirr triggered his muscles into complete relaxation.
1272_141231_000011_000003	Only his heart and lungs worked on at a strong, measured rate.	Only his heart and lungs worked on at a strong, measured rate.
1272_141231_000011_000004	His eyes closed and he was only distantly aware of his handlers catching him as he fell, carrying him to his bench. While they massaged his limp body and cleansed the wound, all of his attention was turned inward.	His eyes closed and he was only distantly aware of his handlers catching him as he fell, carrying him to his bench. While they massaged his limp body and cleansed the wound, all of his attention was turned inward.
1272_141231_000011_000006	The nagging memory of the previous night loomed up then, and he turned it over and over in his mind, examining it from all sides.	The nagging memory of the previous night loomed up then, and he turned it over and over in his mind, examining it from all sides.
1272_141231_000012_000001	The contestants in the Twenties needed undisturbed rest, therefore nights in the dormitories were as quiet as death.	The contestants in the Twenties needed undisturbed rest, therefore nights in the dormitories were as quiet as death.
1272_141231_000012_000003	But as soon as the scores began to mount and eliminations cut into their ranks, there was complete silence after dark.	But as soon as the scores began to mount and eliminations cut into their ranks, there was complete silence after dark.
1272_141231_000012_000004	Particularly so on this last night, when only two of the little cubicles were occupied, the thousands of others standing with dark, empty doors.	Particularly so on this last night, when only two of the little cubicles were occupied, the thousands of others standing with dark, empty doors.
1272_141231_000013_000001	The words were whispered but clear--two voices, just outside the thin metal of his door.	The words were whispered but clear-two voices, just outside the thin metal of his door.
1272_141231_000013_000002	Someone spoke his name.	Someone spoke his name.
1272_141231_000014_000001	Of course not.	Of course not.
1272_141231_000014_000002	Whoever said you could was making a big mistake and there is going to be trouble--"	Whoever said you could was making a big mistake and there is going to be trouble-"
1272_141231_000015_000000	"Don't talk like an idiot!"	"Don't talk like an idiot!"
