7850_281318_000000_000000	MOTHER MAGPIE'S KINDERGARTEN	MOTHER MAGPIE'S KINDERGARTEN
7850_281318_000001_000000	Did you ever notice how different are the nests which the birds build in springtime, in tree or bush or sandy bank or hidden in the grass?	Did you ever notice how different are the nests which the birds build in springtime, in tree or bush or sandy bank or hidden in the grass?
7850_281318_000001_000001	Some are wonderfully wrought, pretty little homes for birdikins.	Some are wonderfully wrought, pretty little homes for birdikins.
7850_281318_000001_000002	But others are clumsy, and carelessly fastened to the bough, most unsafe cradles for the feathered baby on the treetop.	But others are clumsy, and carelessly fastened to the bough, most unsafe cradles for the feathered baby on the treetop.
7850_281318_000001_000003	Sometimes after a heavy wind you find on the ground under the nest poor little broken eggs which rolled out and lost their chance of turning into birds with safe, safe wings of their own.	Sometimes after a heavy wind you find on the ground under the nest poor little broken eggs which rolled out and lost their chance of turning into birds with safe, safe wings of their own.
7850_281318_000001_000004	Now such sad things as this happen because in their youth the lazy father and mother birds did not learn their lesson when Mother Magpie had her class in nest-making.	Now such sad things as this happen because in their youth the lazy father and mother birds did not learn their lesson when Mother Magpie had her class in nest making.
7850_281318_000001_000005	The clumsiest nest of all is that which the Wood-Pigeon tries to build.	The clumsiest nest of all is that which the Wood Pigeon tries to build.
7850_281318_000001_000006	Indeed, it is not a nest at all, only the beginning of one.	Indeed, it is not a nest at all, only the beginning of one.
7850_281318_000001_000007	And there is an old story about this, which I shall tell you.	And there is an old story about this, which I shall tell you.
7850_281318_000002_000000	In the early springtime of the world, when birds were first made, none of them--except Mother Magpie--knew how to build a nest.	In the early springtime of the world, when birds were first made, none of them-except Mother Magpie-knew how to build a nest.
7850_281318_000002_000001	In that lovely garden where they lived the birds went fluttering about trying their new wings, so interested in this wonderful game of flying that they forgot all about preparing a home for the baby birds who were to come.	In that lovely garden where they lived the birds went fluttering about trying their new wings, so interested in this wonderful game of flying that they forgot all about preparing a home for the baby birds who were to come.
7850_281318_000002_000002	When the time came to lay their eggs the parents knew not what to do.	When the time came to lay their eggs the parents knew not what to do.
7850_281318_000002_000004	I don't know anything about housekeeping." And the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy.	I don't know anything about housekeeping." And the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy.
7850_281318_000003_000000	All except Mother Magpie!	All except Mother Magpie!
7850_281318_000003_000001	She was not the best--oh, no!--but she was the cleverest and wisest of all the birds; it seemed as if she knew everything that a bird could know.	She was not the best-oh, no!--but she was the cleverest and wisest of all the birds; it seemed as if she knew everything that a bird could know.
