251_118436_000000_000000	THE PEOPLE OF THE BLACK CIRCLE ***	THE PEOPLE OF THE BLACK CIRCLE asterisk asterisk asterisk	false	2.58	7.2	23.685326
251_118436_000001_000000	Produced by Greg Weeks, Mary Meehan and the Online Distributed Proofreading Team at http://www.pgdp.net	Produced by Greg Weeks, Mary Meehan and the Online Distributed Proofreading Team at h t t p colon slash slash w w w dot p g d p dot net	false	7.2	19.65	22.089712
251_118436_000002_000000	THE PEOPLE OF THE BLACK CIRCLE	THE PEOPLE OF THE BLACK CIRCLE	true	19.65	21.48	25.98861
251_118436_000003_000000	By Robert E. Howard	By Robert e Howard	false	21.48	21.66	-20
251_118436_000004_000000	[Transcriber's Note: This etext was first published in Weird Tales September, October, November 1934.	[Transcriber's Note: This etext was first published in Weird Tales September, October, november nineteen thirty four.	false	21.66	22.44	-20
251_118436_000004_000001	Extensive research did not uncover any evidence that the U.S. copyright on this publication was renewed.]	Extensive research did not uncover any evidence that the u s copyright on this publication was renewed.]	false	22.44	23.295	26.893518
251_118436_000005_000000	1 Death Strikes a King	one Death Strikes a King	true	23.295	26.2	24.540558
251_118436_000006_000000	The king of Vendhya was dying.	The king of Vendhya was dying.	true	28.1	30.34	18.60009
251_118436_000006_000001	Through the hot, stifling night the temple gongs boomed and the conchs roared.	Through the hot, stifling night the temple gongs boomed and the conchs roared.	true	30.53	35.95	22.835043
251_118436_000006_000002	Their clamor was a faint echo in the gold-domed chamber where Bunda Chand struggled on the velvet-cushioned dais.	Their clamor was a faint echo in the gold domed chamber where Bunda Chand struggled on the velvet cushioned dais.	false	36.14	43.51	21.576868
251_118436_000006_000003	Beads of sweat glistened on his dark skin; his fingers twisted the gold-worked fabric beneath him.	Beads of sweat glistened on his dark skin; his fingers twisted the gold worked fabric beneath him.	true	44	50.86	21.19716
251_118436_000006_000004	He was young; no spear had touched him, no poison lurked in his wine.	He was young; no spear had touched him, no poison lurked in his wine.	true	51.53	57.16	24.042183
251_118436_000006_000005	But his veins stood out like blue cords on his temples, and his eyes dilated with the nearness of death.	But his veins stood out like blue cords on his temples, and his eyes dilated with the nearness of death.	false	57.74	64.39	20.4963
251_118436_000006_000006	Trembling slave-girls knelt at the foot of the dais, and leaning down to him, watching him with passionate intensity, was his sister, the Devi Yasmina.	Trembling slave girls knelt at the foot of the dais, and leaning down to him, watching him with passionate intensity, was his sister, the Devi Yasmina.	false	65.18	75.88	21.2647
251_118436_000006_000007	With her was the _wazam_, a noble grown old in the royal court.	With her was the underscore wazam underscore, a noble grown old in the royal court.	false	76.04	80.77	19.995996
251_118436_000007_000000	She threw up her head in a gusty gesture of wrath and despair as the thunder of the distant drums reached her ears.	She threw up her head in a gusty gesture of wrath and despair as the thunder of the distant drums reached her ears.	true	81.5	88.78	21
251_118436_000008_000000	'The priests and their clamor!' she exclaimed.	'The priests and their clamor!' she exclaimed.	true	90.08	93.76	27.679495
251_118436_000008_000001	'They are no wiser than the leeches who are helpless!	'They are no wiser than the leeches who are helpless!	true	94.01	96.91	19
251_118436_000008_000002	Nay, he dies and none can say why.	Nay, he dies and none can say why.	true	97.31	100.87	21.593428
251_118436_000008_000003	He is dying now--and I stand here helpless, who would burn the whole city and spill the blood of thousands to save him.'	He is dying now-and I stand here helpless, who would burn the whole city and spill the blood of thousands to save him.'	true	101.18	109.69	22.910507
251_118436_000009_000000	'Not a man of Ayodhya but would die in his place, if it might be, Devi,' answered the _wazam_. 'This poison--'	'Not a man of Ayodhya but would die in his place, if it might be, Devi,' answered the underscore wazam underscore. 'This poison-'	false	110.81	119.83	22.431799
251_118436_000010_000000	'I tell you it is not poison!' she cried.	'I tell you it is not poison!' she cried.	true	120.2	123.67	25.663233
251_118436_000010_000001	'Since his birth he has been guarded so closely that the cleverest poisoners of the East could not reach him.	'Since his birth he has been guarded so closely that the cleverest poisoners of the East could not reach him.	true	123.89	130.66	23.072983
251_118436_000010_000002	Five skulls bleaching on the Tower of the Kites can testify to attempts which were made--and which failed.	Five skulls bleaching on the Tower of the Kites can testify to attempts which were made-and which failed.	true	130.94	137.98	23.751081
