1993_147149_000005_000000	The ghoul-like fever was not to be braved with impunity, and baulked of its prey.	The ghoul like fever was not to be braved with impunity, and baulked of its prey.
1993_147149_000005_000002	The board, not so formidable as she had imagined, had inquired into her case; and, instead of sending her to Stoke Claypole, her husband's Buckinghamshire parish, as she had dreaded, had agreed to pay her rent.	The board, not so formidable as she had imagined, had inquired into her case; and, instead of sending her to Stoke Claypole, her husband's Buckinghamshire parish, as she had dreaded, had agreed to pay her rent.
1993_147149_000005_000003	So food for four mouths was all she was now required to find; only for three she would have said; for herself and the unweaned child were but reckoned as one in her calculation.	So food for four mouths was all she was now required to find; only for three she would have said; for herself and the unweaned child were but reckoned as one in her calculation.
1993_147149_000006_000002	Her plan of living was so far arranged, when she heard, with keen sorrow, that Wilson's twin lads were ill of the fever.	Her plan of living was so far arranged, when she heard, with keen sorrow, that Wilson's twin lads were ill of the fever.
1993_147149_000007_000001	They were like many a pair of twins, and seemed to have but one life divided between them.	They were like many a pair of twins, and seemed to have but one life divided between them.
1993_147149_000009_000000	But when the twins, after ailing many days, and caring little for their meat, fell sick on the same afternoon, with the same heavy stupor of suffering, the three hearts that loved them so, each felt, though none acknowledged to the other, that they had little chance for life.	But when the twins, after ailing many days, and caring little for their meat, fell sick on the same afternoon, with the same heavy stupor of suffering, the three hearts that loved them so, each felt, though none acknowledged to the other, that they had little chance for life.
1993_147149_000012_000001	Over the child, which yet breathed, the father bent, watching anxiously for some ground of hope, where hope there was none.	Over the child, which yet breathed, the father bent, watching anxiously for some ground of hope, where hope there was none.
1993_147149_000016_000002	But earnest as the father was in watching the yet-living, he had eyes and ears for all that concerned the dead, and sprang gently up, and took his dead son on his hard couch in his arms with tender strength, and carried him upstairs as if afraid of wakening him.	But earnest as the father was in watching the yet living, he had eyes and ears for all that concerned the dead, and sprang gently up, and took his dead son on his hard couch in his arms with tender strength, and carried him upstairs as if afraid of wakening him.
1993_147149_000018_000000	"We mun get him away from his mother.	"We mun get him away from his mother.
1993_147149_000018_000001	He cannot die while she's wishing him."	He cannot die while she's wishing him."
1993_147149_000022_000002	Alice and Mary stood by with eyes fixed on the poor child, whose struggles seemed to increase, till at last his mother said with a choking voice,	Alice and Mary stood by with eyes fixed on the poor child, whose struggles seemed to increase, till at last his mother said with a choking voice,
