84_121123_000007_000001	Maximilian.	Maximilian.
84_121123_000008_000000	Villefort rose, half ashamed of being surprised in such a paroxysm of grief.	Villefort rose, half ashamed of being surprised in such a paroxysm of grief.
84_121123_000008_000001	The terrible office he had held for twenty-five years had succeeded in making him more or less than man.	The terrible office he had held for twenty five years had succeeded in making him more or less than man.
84_121123_000008_000002	His glance, at first wandering, fixed itself upon Morrel.	His glance, at first wandering, fixed itself upon Morrel.
84_121123_000008_000003	"Who are you, sir," he asked, "that forget that this is not the manner to enter a house stricken with death? Go, sir, go!" But Morrel remained motionless; he could not detach his eyes from that disordered bed, and the pale corpse of the young girl who was lying on it.	"Who are you, sir," he asked, "that forget that this is not the manner to enter a house stricken with death? Go, sir, go!" But Morrel remained motionless; he could not detach his eyes from that disordered bed, and the pale corpse of the young girl who was lying on it.
84_121123_000008_000004	"Go!--do you hear?" said Villefort, while d'Avrigny advanced to lead Morrel out.	"Go!--do you hear?" said Villefort, while d'Avrigny advanced to lead Morrel out.
84_121123_000009_000000	But in less than five minutes the staircase groaned beneath an extraordinary weight.	But in less than five minutes the staircase groaned beneath an extraordinary weight.
84_121123_000009_000007	"See what they have done!" cried Morrel, with one hand leaning on the back of the chair, and the other extended towards Valentine.	"See what they have done!" cried Morrel, with one hand leaning on the back of the chair, and the other extended towards Valentine.
84_121123_000009_000008	"See, my father, see!"	"See, my father, see!"
84_121123_000010_000000	Villefort drew back and looked with astonishment on the young man, who, almost a stranger to him, called Noirtier his father.	Villefort drew back and looked with astonishment on the young man, who, almost a stranger to him, called Noirtier his father.
84_121123_000010_000002	And the cry issued from his pores, if we may thus speak--a cry frightful in its silence. D'Avrigny rushed towards the old man and made him inhale a powerful restorative.	And the cry issued from his pores, if we may thus speak-a cry frightful in its silence. D'Avrigny rushed towards the old man and made him inhale a powerful restorative.
84_121123_000011_000000	"Sir," cried Morrel, seizing the moist hand of the paralytic, "they ask me who I am, and what right I have to be here.	"Sir," cried Morrel, seizing the moist hand of the paralytic, "they ask me who I am, and what right I have to be here.
84_121123_000011_000003	One could have thought that he was undergoing the agonies preceding death.	One could have thought that he was undergoing the agonies preceding death.
84_121123_000011_000004	At length, happier than the young man, who sobbed without weeping, tears glistened in the eyes of Noirtier.	At length, happier than the young man, who sobbed without weeping, tears glistened in the eyes of Noirtier.
84_121123_000011_000007	Tell them--oh, tell them, that corpse belongs to me!"	Tell them-oh, tell them, that corpse belongs to me!"
84_121123_000012_000006	But you see that the angel whom you hoped for has left this earth--she has nothing more to do with the adoration of men.	But you see that the angel whom you hoped for has left this earth-she has nothing more to do with the adoration of men.
84_121123_000012_000007	Take a last farewell, sir, of her sad remains; take the hand you expected to possess once more within your own, and then separate yourself from her forever.	Take a last farewell, sir, of her sad remains; take the hand you expected to possess once more within your own, and then separate yourself from her forever.
84_121123_000012_000008	Valentine now requires only the ministrations of the priest."	Valentine now requires only the ministrations of the priest."
84_121123_000015_000000	"I tell you, sir, that two persons exist in you; the father has mourned sufficiently, now let the procureur fulfil his office."	"I tell you, sir, that two persons exist in you; the father has mourned sufficiently, now let the procureur fulfil his office."
84_121123_000016_000000	The eyes of Noirtier glistened, and d'Avrigny approached.	The eyes of Noirtier glistened, and d'Avrigny approached.
84_121123_000017_000000	"Gentlemen," said Morrel, reading all that passed through the minds of the witnesses to the scene, "I know what I am saying, and you know as well as I do what I am about to say--Valentine has been assassinated!" Villefort hung his head, d'Avrigny approached nearer, and Noirtier said "Yes" with his eyes.	"Gentlemen," said Morrel, reading all that passed through the minds of the witnesses to the scene, "I know what I am saying, and you know as well as I do what I am about to say-Valentine has been assassinated!" Villefort hung his head, d'Avrigny approached nearer, and Noirtier said "Yes" with his eyes.
84_121123_000017_000002	Mr. Procureur," said Morrel with increasing vehemence, "no mercy is allowed; I denounce the crime; it is your place to seek the assassin." The young man's implacable eyes interrogated Villefort, who, on his side, glanced from Noirtier to d'Avrigny.	mr Procureur," said Morrel with increasing vehemence, "no mercy is allowed; I denounce the crime; it is your place to seek the assassin." The young man's implacable eyes interrogated Villefort, who, on his side, glanced from Noirtier to d'Avrigny.
84_121123_000017_000004	"Yes," indicated the old man.	"Yes," indicated the old man.
84_121123_000019_000000	"Sir," said Villefort, striving to struggle against this triple force and his own emotion,--"sir, you are deceived; no one commits crimes here.	"Sir," said Villefort, striving to struggle against this triple force and his own emotion,--"sir, you are deceived; no one commits crimes here.
84_121123_000019_000001	I am stricken by fate.	I am stricken by fate.
