2035_147960_000000_000000	VII	seven	false	3.9	28.26	20.435822
2035_147960_000001_000000	MUCH as I liked Antonia, I hated a superior tone that she sometimes took with me.	MUCH as I liked Antonia, I hated a superior tone that she sometimes took with me.	true	28.26	33.16	19
2035_147960_000001_000001	She was four years older than I, to be sure, and had seen more of the world; but I was a boy and she was a girl, and I resented her protecting manner.	She was four years older than I, to be sure, and had seen more of the world; but I was a boy and she was a girl, and I resented her protecting manner.	true	33.77	42.43	20.508696
2035_147960_000001_000002	Before the autumn was over she began to treat me more like an equal and to defer to me in other things than reading lessons. This change came about from an adventure we had together.	Before the autumn was over she began to treat me more like an equal and to defer to me in other things than reading lessons. This change came about from an adventure we had together.	true	43.13	53.86	19
2035_147960_000002_000000	One day when I rode over to the Shimerdas' I found Antonia starting off on foot for Russian Peter's house, to borrow a spade Ambrosch needed.	One day when I rode over to the Shimerdas' I found Antonia starting off on foot for Russian Peter's house, to borrow a spade Ambrosch needed.	true	55.28	63.49	19.274977
2035_147960_000002_000001	I offered to take her on the pony, and she got up behind me.	I offered to take her on the pony, and she got up behind me.	true	64.25	67.6	23.760086
2035_147960_000002_000002	There had been another black frost the night before, and the air was clear and heady as wine.	There had been another black frost the night before, and the air was clear and heady as wine.	true	68.3	73.45	20.19413
2035_147960_000002_000003	Within a week all the blooming roads had been despoiled--hundreds of miles of yellow sunflowers had been transformed into brown, rattling, burry stalks.	Within a week all the blooming roads had been despoiled-hundreds of miles of yellow sunflowers had been transformed into brown, rattling, burry stalks.	true	74.15	83.56	20
2035_147960_000003_000000	We found Russian Peter digging his potatoes.	We found Russian peter digging his potatoes.	true	84.62	87.37	18.225746
2035_147960_000003_000001	We were glad to go in and get warm by his kitchen stove and to see his squashes and Christmas melons, heaped in the storeroom for winter.	We were glad to go in and get warm by his kitchen stove and to see his squashes and Christmas melons, heaped in the storeroom for winter.	true	87.77	95.62	17
2035_147960_000003_000002	As we rode away with the spade, Antonia suggested that we stop at the prairie-dog town and dig into one of the holes.	As we rode away with the spade, Antonia suggested that we stop at the prairie dog town and dig into one of the holes.	true	96.86	103.51	20
2035_147960_000003_000003	We could find out whether they ran straight down, or were horizontal, like mole-holes; whether they had underground connections; whether the owls had nests down there, lined with feathers.	We could find out whether they ran straight down, or were horizontal, like mole holes; whether they had underground connections; whether the owls had nests down there, lined with feathers.	true	104.12	115.15	17.72317
2035_147960_000003_000004	We might get some puppies, or owl eggs, or snake-skins.	We might get some puppies, or owl eggs, or snake skins.	true	115.94	119.8	22.13747
2035_147960_000004_000000	The dog-town was spread out over perhaps ten acres.	The dog town was spread out over perhaps ten acres.	true	120.77	123.94	22.729183
