7850_281318_000000_000000	MOTHER MAGPIE'S KINDERGARTEN	MOTHER MAGPIE'S KINDERGARTEN	true	23.625	26.11	27.073694
7850_281318_000001_000000	Did you ever notice how different are the nests which the birds build in springtime, in tree or bush or sandy bank or hidden in the grass?	Did you ever notice how different are the nests which the birds build in springtime, in tree or bush or sandy bank or hidden in the grass?	true	26.93	36.16	22.417633
7850_281318_000001_000001	Some are wonderfully wrought, pretty little homes for birdikins.	Some are wonderfully wrought, pretty little homes for birdikins.	true	36.47	40.39	23.418869
7850_281318_000001_000002	But others are clumsy, and carelessly fastened to the bough, most unsafe cradles for the feathered baby on the treetop.	But others are clumsy, and carelessly fastened to the bough, most unsafe cradles for the feathered baby on the treetop.	true	40.58	48.16	23.338764
7850_281318_000001_000003	Sometimes after a heavy wind you find on the ground under the nest poor little broken eggs which rolled out and lost their chance of turning into birds with safe, safe wings of their own.	Sometimes after a heavy wind you find on the ground under the nest poor little broken eggs which rolled out and lost their chance of turning into birds with safe, safe wings of their own.	true	48.47	60.37	22.30653
7850_281318_000001_000004	Now such sad things as this happen because in their youth the lazy father and mother birds did not learn their lesson when Mother Magpie had her class in nest-making.	Now such sad things as this happen because in their youth the lazy father and mother birds did not learn their lesson when Mother Magpie had her class in nest making.	true	60.83	71.92	22.631618
7850_281318_000001_000005	The clumsiest nest of all is that which the Wood-Pigeon tries to build.	The clumsiest nest of all is that which the Wood Pigeon tries to build.	true	72.44	76.87	24.387032
7850_281318_000001_000006	Indeed, it is not a nest at all, only the beginning of one.	Indeed, it is not a nest at all, only the beginning of one.	true	77.06	81.13	26.237751
7850_281318_000001_000007	And there is an old story about this, which I shall tell you.	And there is an old story about this, which I shall tell you.	true	81.38	85.18	26.290178
7850_281318_000002_000000	In the early springtime of the world, when birds were first made, none of them--except Mother Magpie--knew how to build a nest.	In the early springtime of the world, when birds were first made, none of them-except Mother Magpie-knew how to build a nest.	true	86.15	95.47	24.43032
7850_281318_000002_000001	In that lovely garden where they lived the birds went fluttering about trying their new wings, so interested in this wonderful game of flying that they forgot all about preparing a home for the baby birds who were to come.	In that lovely garden where they lived the birds went fluttering about trying their new wings, so interested in this wonderful game of flying that they forgot all about preparing a home for the baby birds who were to come.	true	95.72	108.88	24.694998
7850_281318_000002_000002	When the time came to lay their eggs the parents knew not what to do.	When the time came to lay their eggs the parents knew not what to do.	true	109.46	114.25	22.331919
7850_281318_000002_000003	There was no place safe from the four-legged creatures who cannot fly, and they began to twitter helplessly: "Oh, how I wish I had a nice warm nest for my eggs!" "Oh, what shall we do for a home?" "Dear me!	There was no place safe from the four legged creatures who cannot fly, and they began to twitter helplessly: "Oh, how I wish I had a nice warm nest for my eggs!" "Oh, what shall we do for a home?" "Dear me!	false	114.53	129.705	21.935368
7850_281318_000002_000004	I don't know anything about housekeeping." And the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy.	I don't know anything about housekeeping." And the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy.	true	129.705	140.65	26.718172
7850_281318_000003_000000	All except Mother Magpie!	All except Mother Magpie!	true	141.26	143.47	33.176193
7850_281318_000003_000001	She was not the best--oh, no!--but she was the cleverest and wisest of all the birds; it seemed as if she knew everything that a bird could know.	She was not the best-oh, no!--but she was the cleverest and wisest of all the birds; it seemed as if she knew everything that a bird could know.	true	143.78	153.64	23.092827
7850_281318_000003_000002	Already she had found out a way, and was busily building a famous nest for herself.	Already she had found out a way, and was busily building a famous nest for herself.	true	153.95	159.64	21.272116
7850_281318_000003_000003	She was indeed a clever bird!	She was indeed a clever bird!	true	159.86	162.01	25.487913
7850_281318_000003_000004	She gathered turf and sticks, and with clay bound them firmly together in a stout elm tree.	She gathered turf and sticks, and with clay bound them firmly together in a stout elm tree.	true	162.08	168.31	25.483181
7850_281318_000003_000005	About her house she built a fence of thorns to keep away the burglar birds who had already begun mischief among their peaceful neighbors.	About her house she built a fence of thorns to keep away the burglar birds who had already begun mischief among their peaceful neighbors.	true	168.8	176.91	20
7850_281318_000003_000006	Thus she had a snug and cosy dwelling finished before the others even suspected what she was doing.	Thus she had a snug and cosy dwelling finished before the others even suspected what she was doing.	false	176.91	183.85	21.843279
7850_281318_000003_000007	She popped into her new house and sat there comfortably, peering out through the window-slits with her sharp little eyes.	She popped into her new house and sat there comfortably, peering out through the window slits with her sharp little eyes.	true	184.31	191.53	23.928509
7850_281318_000003_000008	And she saw the other birds hopping about and twittering helplessly.	And she saw the other birds hopping about and twittering helplessly.	false	191.66	195.73	23.466906
7850_281318_000004_000000	"What silly birds they are!" she croaked.	"What silly birds they are!" she croaked.	true	196.13	198.42	25.281488
7850_281318_000004_000001	"Ha, ha!	"Ha, ha!	true	198.42	199.38	29.772861
7850_281318_000004_000002	What would they not give for a nest like mine!"	What would they not give for a nest like mine!"	true	199.38	202.6	23.88472
7850_281318_000005_000000	But presently a sharp-eyed Sparrow spied Mother Magpie sitting in her nest.	But presently a sharp eyed Sparrow spied Mother Magpie sitting in her nest.	true	203	208.51	24.434544
7850_281318_000006_000000	"Oho!	"Oho!	true	208.73	209.535	32.392403
7850_281318_000006_000001	Look there!" he cried.	Look there!" he cried.	true	209.535	211.03	25.594645
7850_281318_000006_000002	"Mother Magpie has found a way.	"Mother Magpie has found a way.	true	211.04	212.92	26.802748
7850_281318_000006_000003	Let us ask her to teach us."	Let us ask her to teach us."	true	212.93	214.72	24.442633
7850_281318_000007_000000	Then all the other birds chirped eagerly, "Yes, yes!	Then all the other birds chirped eagerly, "Yes, yes!	true	215.21	219.195	25.758427
7850_281318_000007_000001	Let us ask her to teach us!"	Let us ask her to teach us!"	true	219.195	220.96	25.391273
7850_281318_000008_000000	So, in a great company, they came fluttering, hopping, twittering up to the elm tree where Mother Magpie nestled comfortably in her new house.	So, in a great company, they came fluttering, hopping, twittering up to the elm tree where Mother Magpie nestled comfortably in her new house.	true	221.24	229.57	25.529396
7850_281318_000009_000000	"O wise Mother Magpie, dear Mother Magpie," they cried, "teach us how to build our nests like yours, for it is growing night, and we are tired and sleepy."	"O wise Mother Magpie, dear Mother Magpie," they cried, "teach us how to build our nests like yours, for it is growing night, and we are tired and sleepy."	true	230	241.54	21.059755
7850_281318_000010_000000	The Magpie said she would teach them if they would be a patient, diligent, obedient class of little birds.	The Magpie said she would teach them if they would be a patient, diligent, obedient class of little birds.	true	242.24	249.34	25.378775
7850_281318_000010_000001	And they all promised that they would.	And they all promised that they would.	true	249.5	251.95	25.890661
7850_281318_000011_000000	She made them perch about her in a great circle, some on the lower branches of the trees, some on the bushes, and some on the ground among the grass and flowers.	She made them perch about her in a great circle, some on the lower branches of the trees, some on the bushes, and some on the ground among the grass and flowers.	true	252.41	262.36	23.03459
7850_281318_000011_000001	And where each bird perched, there it was to build its nest.	And where each bird perched, there it was to build its nest.	false	262.7	266.65	26.381815
7850_281318_000011_000002	Then Mother Magpie found clay and bits of twigs and moss and grass--everything a bird could need to build a nest; and there is scarcely anything you can think of which some bird would not find very useful.	Then Mother Magpie found clay and bits of twigs and moss and grass-everything a bird could need to build a nest; and there is scarcely anything you can think of which some bird would not find very useful.	false	267.02	279.55	24.759201
7850_281318_000011_000003	When these things were all piled up before her she told every bird to do just as she did.	When these things were all piled up before her she told every bird to do just as she did.	true	280.16	286.15	25.259277
