5338_284437_000002_000000	TOURMALINE THE POVERTY QUEEN	TOURMALINE THE POVERTY QUEEN
5338_284437_000004_000000	The open space which they entered was paved with pink marble and around it were two rows of large pink statues, at least life-size and beautifully sculptured.	The open space which they entered was paved with pink marble and around it were two rows of large pink statues, at least life-size and beautifully sculptured.
5338_284437_000005_000001	It had no ornamentation, being exceedingly plain in appearance.	It had no ornamentation, being exceedingly plain in appearance.
5338_284437_000005_000002	No banners floated from it; no flowers grew near it.	No banners floated from it; no flowers grew near it.
5338_284437_000006_000000	"Here," said one of their guides, as the procession halted before the little stone building, "is the palace of Tourmaline, who is our Queen."	"Here," said one of their guides, as the procession halted before the little stone building, "is the palace of Tourmaline, who is our Queen."
5338_284437_000007_000000	"What! that little cabin?" exclaimed Trot.	"What! that little cabin?" exclaimed Trot.
5338_284437_000008_000000	"Of course.	"Of course.
5338_284437_000008_000001	Did you suppose a palace would be like one of our handsome residences?" asked the woman, evidently surprised.	Did you suppose a palace would be like one of our handsome residences?" asked the woman, evidently surprised.
5338_284437_000009_000000	"I thought it would be better," said the girl.	"I thought it would be better," said the girl.
5338_284437_000009_000001	"All the palaces I've seen were splendid."	"All the palaces I've seen were splendid."
5338_284437_000010_000000	"A splendid palace!" exclaimed one of the Pinkies, and then they looked at one another in amazement and seemed to doubt that their ears had heard aright.	"A splendid palace!" exclaimed one of the Pinkies, and then they looked at one another in amazement and seemed to doubt that their ears had heard aright.
5338_284437_000011_000000	"These intruders are very peculiar people," remarked a man in the crowd.	"These intruders are very peculiar people," remarked a man in the crowd.
5338_284437_000012_000000	"They seem very ignorant, poor things!" said another, in reply.	"They seem very ignorant, poor things!" said another, in reply.
5338_284437_000013_000000	"Come!" commanded the woman who led the party; "you three must follow me to the presence of Tourmaline.	"Come!" commanded the woman who led the party; "you three must follow me to the presence of Tourmaline.
5338_284437_000013_000001	The people must wait outside, for there is no room for them in the palace."	The people must wait outside, for there is no room for them in the palace."
5338_284437_000014_000000	So they followed her through the low archway, and in a room beyond, very simply furnished, sat a young girl engaged in darning a pair of pink stockings.	So they followed her through the low archway, and in a room beyond, very simply furnished, sat a young girl engaged in darning a pair of pink stockings.
5338_284437_000014_000001	She was a beautiful girl of about seventeen years of age, not fat like all the rest of the Pinkies, but slender and well formed according to our own ideas of beauty.	She was a beautiful girl of about seventeen years of age, not fat like all the rest of the Pinkies, but slender and well formed according to our own ideas of beauty.
5338_284437_000014_000004	It was her badge of office, and seemed very incongruous when compared with her poor raiment and simple surroundings.	It was her badge of office, and seemed very incongruous when compared with her poor raiment and simple surroundings.
5338_284437_000015_000000	As they entered, the girl sighed and laid down her work.	As they entered, the girl sighed and laid down her work.
5338_284437_000015_000001	Her expression was patient and resigned as she faced her audience.	Her expression was patient and resigned as she faced her audience.
5338_284437_000016_000000	"What is it, Coralie?" she asked the woman.	"What is it, Coralie?" she asked the woman.
5338_284437_000017_000001	They tell a queer story of an escape from the Blueskins, so I decided to bring them to you, that you may determine their fate."	They tell a queer story of an escape from the Blueskins, so I decided to bring them to you, that you may determine their fate."
5338_284437_000018_000000	The Queen gazed upon our friends with evident interest.	The Queen gazed upon our friends with evident interest.
5338_284437_000018_000001	She smiled--a little sadly--at Trot, seemed to approve Button-Bright's open, frank face and was quite surprised because Cap'n Bill was so much bigger than her own people.	She smiled-a little sadly-at Trot, seemed to approve Button Bright's open, frank face and was quite surprised because Cap'n Bill was so much bigger than her own people.
5338_284437_000020_000000	"No, your Majesty," he replied; "I'm only ----"	"No, your Majesty," he replied; "I'm only ----"
5338_284437_000021_000000	"Majesty!" she exclaimed, flushing a deeper pink.	"Majesty!" she exclaimed, flushing a deeper pink.
5338_284437_000023_000000	"Perhaps you are trying to ridicule me," she continued, regarding the sailor's face closely.	"Perhaps you are trying to ridicule me," she continued, regarding the sailor's face closely.
5338_284437_000023_000001	"There is nothing majestic about me, as you know very well.	"There is nothing majestic about me, as you know very well.
5338_284437_000023_000002	Coralie, do you consider 'majesty' a proper word to use when addressing a Queen?" she added, appealing to the Pinky woman.	Coralie, do you consider 'majesty' a proper word to use when addressing a Queen?" she added, appealing to the Pinky woman.
5338_284437_000024_000000	"By no means," was the prompt reply.	"By no means," was the prompt reply.
5338_284437_000025_000000	"What shall I call her, then?" inquired Cap'n Bill.	"What shall I call her, then?" inquired Cap'n Bill.
5338_284437_000026_000000	"Just Tourmaline.	"Just Tourmaline.
5338_284437_000026_000001	That is her name, and it is sufficient," said the woman.	That is her name, and it is sufficient," said the woman.
5338_284437_000027_000000	"The Ruler of a country ought to be treated with great respec'," declared Trot, a little indignantly, for she thought the pretty little queen was not being properly deferred to.	"The Ruler of a country ought to be treated with great respec'," declared Trot, a little indignantly, for she thought the pretty little queen was not being properly deferred to.
5338_284437_000028_000000	"Why?" asked Tourmaline, curiously.	"Why?" asked Tourmaline, curiously.
5338_284437_000030_000002	I even decree death, when such a punishment is merited.	I even decree death, when such a punishment is merited.
5338_284437_000031_000000	"In that case," said Button-Bright, "you're entitled to the best there is, to pay for your trouble.	"In that case," said Button Bright, "you're entitled to the best there is, to pay for your trouble.
5338_284437_000031_000001	A powerful ruler ought to be rich and to live in a splendid palace.	A powerful ruler ought to be rich and to live in a splendid palace.
5338_284437_000031_000002	Your folks ought to treat you with great respect, as Trot says."	Your folks ought to treat you with great respect, as Trot says."
5338_284437_000032_000000	"Oh, no," responded Tourmaline quickly; "that would indeed be very wrong.	"Oh, no," responded Tourmaline quickly; "that would indeed be very wrong.
5338_284437_000032_000002	If, with my great power, conferred upon me by the people, I also possessed great wealth, I might be tempted to be cruel and overbearing.	If, with my great power, conferred upon me by the people, I also possessed great wealth, I might be tempted to be cruel and overbearing.
5338_284437_000032_000003	In that case my subjects would justly grow envious of my superior station.	In that case my subjects would justly grow envious of my superior station.
5338_284437_000032_000004	If I lived as luxuriously as my people do, and had servants and costly gowns, the good Pinkies would say that their Queen had more than they themselves--and it would be true.	If I lived as luxuriously as my people do, and had servants and costly gowns, the good Pinkies would say that their Queen had more than they themselves-and it would be true.
5338_284437_000032_000005	No; our way is best.	No; our way is best.
5338_284437_000032_000006	The Ruler, be it king or queen, has absolute power to rule, but no riches--no high station--no false adulation.	The Ruler, be it king or queen, has absolute power to rule, but no riches-no high station-no false adulation.
5338_284437_000033_000000	"What pays you, then, for all your bother?" asked Trot.	"What pays you, then, for all your bother?" asked Trot.
5338_284437_000034_000000	"I have one great privilege.	"I have one great privilege.
5338_284437_000034_000002	That is my reward."	That is my reward."
5338_284437_000036_000000	"I did not choose to be the Queen," answered Tourmaline, simply.	"I did not choose to be the Queen," answered Tourmaline, simply.
5338_284437_000036_000001	"A misfortune of birth placed me here and I cannot escape my fate.	"A misfortune of birth placed me here and I cannot escape my fate.
5338_284437_000036_000002	It is much more desirable to be a private citizen, happy and care free.	It is much more desirable to be a private citizen, happy and care free.
5338_284437_000037_000000	Between them they told the story of how the Magic Umbrella had taken them to Sky Island, which they did not know, when they started, was anywhere in existence.	Between them they told the story of how the Magic Umbrella had taken them to Sky Island, which they did not know, when they started, was anywhere in existence.
5338_284437_000037_000001	Button-Bright told this, and then Trot related their adventures among the Blueskins and how the Boolooroo had stolen the umbrella and prevented them from going home again.	Button Bright told this, and then Trot related their adventures among the Blueskins and how the Boolooroo had stolen the umbrella and prevented them from going home again.
5338_284437_000040_000000	Cap'n Bill finished the story by telling of their escape through the Fog Bank.	Cap'n Bill finished the story by telling of their escape through the Fog Bank.
5338_284437_000041_000000	"Pretty wet!	"Pretty wet!
5338_284437_000041_000001	Pretty wet Was the journey, you can bet!"	Pretty wet Was the journey, you can bet!"
5338_284437_000042_000000	declared the parrot, in conclusion.	declared the parrot, in conclusion.
5338_284437_000044_000000	"But what can you do here?" asked Tourmaline.	"But what can you do here?" asked Tourmaline.
5338_284437_000044_000001	"You are not like my people, the Pinkies, and there is no place for you in our country."	"You are not like my people, the Pinkies, and there is no place for you in our country."
5338_284437_000045_000001	Your Sky Island ain't very big, so when we couldn't stay in the Blue Country, where ever'body hated us, or in the Fog Bank, which ain't healthy an' is too wet for humans to live in for long, we nat'rally were forced to enter the Pink Country, where we expected to find nice people."	Your Sky Island ain't very big, so when we couldn't stay in the Blue Country, where ever'body hated us, or in the Fog Bank, which ain't healthy an' is too wet for humans to live in for long, we nat'rally were forced to enter the Pink Country, where we expected to find nice people."
5338_284437_000046_000001	In all our history you are the first people from outside our borders who have ever stepped a foot in our land.	In all our history you are the first people from outside our borders who have ever stepped a foot in our land.
5338_284437_000046_000002	We do not hate you, as you say the Blueskins do, nor are we savage or cruel; but we do not want you here and I am really puzzled what to do with you."	We do not hate you, as you say the Blueskins do, nor are we savage or cruel; but we do not want you here and I am really puzzled what to do with you."
5338_284437_000047_000000	"Isn't there a law to cover this case?" asked Coralie.	"Isn't there a law to cover this case?" asked Coralie.
5338_284437_000049_000000	"If not," said the woman, "you must make a law.	"If not," said the woman, "you must make a law.
5338_284437_000049_000001	It is your duty."	It is your duty."
5338_284437_000050_000000	"I know," answered Tourmaline; "but I hope such a responsibility will not fall upon my shoulders.	"I know," answered Tourmaline; "but I hope such a responsibility will not fall upon my shoulders.
5338_284437_000051_000000	"Thank you," said Trot.	"Thank you," said Trot.
5338_284437_000051_000001	"We wish so, too.	"We wish so, too.
5338_284437_000052_000000	"Oh, there are fairies, of course, as there are everywhere," answered Tourmaline; "but none that we can call to our assistance, or command to do our bidding."	"Oh, there are fairies, of course, as there are everywhere," answered Tourmaline; "but none that we can call to our assistance, or command to do our bidding."
5338_284437_000053_000000	"How about witches?" asked Button-Bright.	"How about witches?" asked Button Bright.
5338_284437_000054_000000	"I know of one witch," said Tourmaline, thoughtfully, "but she is not very obliging.	"I know of one witch," said Tourmaline, thoughtfully, "but she is not very obliging.
5338_284437_000054_000001	She says it makes her head ache to perform witchcraft and so she seldom indulges in it.	She says it makes her head ache to perform witchcraft and so she seldom indulges in it.
5338_284437_000054_000002	But, if there is no other way, I may be obliged to call upon Rosalie for help.	But, if there is no other way, I may be obliged to call upon Rosalie for help.
5338_284437_000054_000003	I'll look in the Great Book first.	I'll look in the Great Book first.
5338_284437_000054_000004	Meantime you will go home with Coralie, who will feed you and give you entertainment.	Meantime you will go home with Coralie, who will feed you and give you entertainment.
5338_284437_000054_000005	To-morrow morning come to me again and then I will decree your fate."	To morrow morning come to me again and then I will decree your fate."
