5895_34629_000002_000000	CHAPTER III.	CHAPTER three.
5895_34629_000003_000000	WHERE THE PASSER-BY REAPPEARS.	WHERE THE PASSER BY REAPPEARS.
5895_34629_000004_000002	Ursus had been tempted by the bowling-green, which had one great recommendation, that it was always fair-day there, even in winter.	Ursus had been tempted by the bowling green, which had one great recommendation, that it was always fair day there, even in winter.
5895_34629_000006_000000	London, take it all in all, has some good in it.	London, take it all in all, has some good in it.
5895_34629_000006_000001	It was a brave thing to dedicate a cathedral to St. Paul.	It was a brave thing to dedicate a cathedral to saint Paul.
5895_34629_000006_000004	He entered heaven only by the artists' door.	He entered heaven only by the artists' door.
5895_34629_000007_000000	A cathedral is a sign.	A cathedral is a sign.
5895_34629_000007_000001	St. Peter is the sign of Rome, the city of the dogma; St. Paul that of London, the city of schism.	saint Peter is the sign of Rome, the city of the dogma; saint Paul that of London, the city of schism.
5895_34629_000009_000004	A large wooden balcony, roofed over, and supported on posts, on which the rooms of the first story opened, ran round the three fronts of the interior facade of the house, making two right angles.	A large wooden balcony, roofed over, and supported on posts, on which the rooms of the first story opened, ran round the three fronts of the interior facade of the house, making two right angles.
5895_34629_000009_000005	The windows of the ground floor made boxes, the pavement of the court the pit, and the balcony the gallery. The Green Box, reared against the wall, was thus in front of a theatre. It was very like the Globe, where they played "Othello," "King Lear," and "The Tempest."	The windows of the ground floor made boxes, the pavement of the court the pit, and the balcony the gallery. The Green Box, reared against the wall, was thus in front of a theatre. It was very like the Globe, where they played "Othello," "King Lear," and "The Tempest."
5895_34629_000010_000000	In a corner behind the Green Box was a stable.	In a corner behind the Green Box was a stable.
5895_34629_000011_000000	Ursus had made his arrangements with the tavern keeper, Master Nicless, who, owing to his respect for the law, would not admit the wolf without charging him extra.	Ursus had made his arrangements with the tavern keeper, Master Nicless, who, owing to his respect for the law, would not admit the wolf without charging him extra.
5895_34629_000012_000001	The sitting-room of the tavern had, as we have seen, an inside door which opened into the court.	The sitting room of the tavern had, as we have seen, an inside door which opened into the court.
5895_34629_000012_000002	By the side of the door was constructed off-hand, by means of an empty barrel, a box for the money-taker, who was sometimes Fibi and sometimes Vinos.	By the side of the door was constructed off hand, by means of an empty barrel, a box for the money taker, who was sometimes Fibi and sometimes Vinos.
5895_34629_000012_000003	This was managed much as at present.	This was managed much as at present.
5895_34629_000012_000004	Pay and pass in. Under the placard announcing the Laughing Man was a piece of wood, painted white, hung on two nails, on which was written in charcoal in large letters the title of Ursus's grand piece, "Chaos Vanquished."	Pay and pass in. Under the placard announcing the Laughing Man was a piece of wood, painted white, hung on two nails, on which was written in charcoal in large letters the title of Ursus's grand piece, "Chaos Vanquished."
5895_34629_000013_000000	In the centre of the balcony, precisely opposite the Green Box, and in a compartment having for entrance a window reaching to the ground, there had been partitioned off a space "for the nobility."	In the centre of the balcony, precisely opposite the Green Box, and in a compartment having for entrance a window reaching to the ground, there had been partitioned off a space "for the nobility."
5895_34629_000013_000001	It was large enough to hold, in two rows, ten spectators.	It was large enough to hold, in two rows, ten spectators.
5895_34629_000014_000001	"We must be prepared for the gentry."	"We must be prepared for the gentry."
5895_34629_000016_000000	They began their performances.	They began their performances.
5895_34629_000016_000001	The crowd immediately flocked to them, but the compartment for the nobility remained empty.	The crowd immediately flocked to them, but the compartment for the nobility remained empty.
5895_34629_000016_000002	With that exception their success became so great that no mountebank memory could recall its parallel.	With that exception their success became so great that no mountebank memory could recall its parallel.
5895_34629_000018_000000	Besides the small fry, the swallowers of swords and the grimace makers, real performances took place on the green.	Besides the small fry, the swallowers of swords and the grimace makers, real performances took place on the green.
5895_34629_000018_000001	There was a circus of women, ringing from morning till night with a magnificent peal of all sorts of instruments--psalteries, drums, rebecks, micamons, timbrels, reeds, dulcimers, gongs, chevrettes, bagpipes, German horns, English eschaqueils, pipes, flutes, and flageolets.	There was a circus of women, ringing from morning till night with a magnificent peal of all sorts of instruments-psalteries, drums, rebecks, micamons, timbrels, reeds, dulcimers, gongs, chevrettes, bagpipes, German horns, English eschaqueils, pipes, flutes, and flageolets.
5895_34629_000019_000001	There was a travelling menagerie, where was to be seen a performing tiger, who, lashed by the keeper, snapped at the whip and tried to swallow the lash.	There was a travelling menagerie, where was to be seen a performing tiger, who, lashed by the keeper, snapped at the whip and tried to swallow the lash.
5895_34629_000019_000002	Even this comedian of jaws and claws was eclipsed in success.	Even this comedian of jaws and claws was eclipsed in success.
5895_34629_000020_000000	Curiosity, applause, receipts, crowds, the Laughing Man monopolized everything.	Curiosity, applause, receipts, crowds, the Laughing Man monopolized everything.
5895_34629_000020_000002	Nothing was thought of but the Green Box.	Nothing was thought of but the Green Box.
5895_34629_000021_000000	"'Chaos Vanquished' is 'Chaos Victor,'" said Ursus, appropriating half Gwynplaine's success, and taking the wind out of his sails, as they say at sea.	"'Chaos Vanquished' is 'Chaos Victor,'" said Ursus, appropriating half Gwynplaine's success, and taking the wind out of his sails, as they say at sea.
5895_34629_000021_000001	That success was prodigious.	That success was prodigious.
5895_34629_000021_000002	Still it remained local.	Still it remained local.
5895_34629_000021_000005	The sea is a wall; and if Voltaire--a thing which he very much regretted when it was too late--had not thrown a bridge over to Shakespeare, Shakespeare might still be in England, on the other side of the wall, a captive in insular glory.	The sea is a wall; and if Voltaire-a thing which he very much regretted when it was too late-had not thrown a bridge over to Shakespeare, Shakespeare might still be in England, on the other side of the wall, a captive in insular glory.
5895_34629_000022_000000	The glory of Gwynplaine had not passed London Bridge.	The glory of Gwynplaine had not passed London Bridge.
5895_34629_000022_000001	It was not great enough yet to re-echo throughout the city.	It was not great enough yet to re echo throughout the city.
5895_34629_000022_000002	At least not at first.	At least not at first.
5895_34629_000023_000000	"The money bag grows palpably bigger."	"The money bag grows palpably bigger."
5895_34629_000025_000000	Between the acts Ursus exhibited his power as an engastrimist, and executed marvels of ventriloquism.	Between the acts Ursus exhibited his power as an engastrimist, and executed marvels of ventriloquism.
5895_34629_000025_000001	He imitated every cry which occurred in the audience--a song, a cry, enough to startle, so exact the imitation, the singer or the crier himself; and now and then he copied the hubbub of the public, and whistled as if there were a crowd of people within him.	He imitated every cry which occurred in the audience-a song, a cry, enough to startle, so exact the imitation, the singer or the crier himself; and now and then he copied the hubbub of the public, and whistled as if there were a crowd of people within him.
