3752_4943_000002_000000	CHAPTER XIII.	CHAPTER thirteen.
3752_4943_000003_000002	His name was Kirkland, and he belonged to what were known as the "educated" prisoners.	His name was Kirkland, and he belonged to what were known as the "educated" prisoners.
3752_4943_000003_000003	He had been a clerk in a banking house, and was transported for embezzlement, though, by some, grave doubts as to his guilt were entertained.	He had been a clerk in a banking house, and was transported for embezzlement, though, by some, grave doubts as to his guilt were entertained.
3752_4943_000003_000005	So, doubtless, it was, and might have been, had not an untoward accident occurred.	So, doubtless, it was, and might have been, had not an untoward accident occurred.
3752_4943_000003_000007	Kirkland belonged to a Methodist family and owned a piety utterly out of place in that region.	Kirkland belonged to a Methodist family and owned a piety utterly out of place in that region.
3752_4943_000003_000010	"You blank blank, is that your blank game?	"You blank blank, is that your blank game?
3752_4943_000003_000011	I'll blank soon cure you of that!" and forthwith ordered him to the chain-gang for "insubordination".	I'll blank soon cure you of that!" and forthwith ordered him to the chain gang for "insubordination".
3752_4943_000005_000000	The toil was severe, and the companionship uncouth, but despite his blistered hands and aching back, he had not experienced anything so very terrible after all.	The toil was severe, and the companionship uncouth, but despite his blistered hands and aching back, he had not experienced anything so very terrible after all.
3752_4943_000006_000000	"I'm not to go in there?" says the ex-bank clerk, drawing back in dismay from the cloud of foul faces which lowered upon him.	"I'm not to go in there?" says the ex bank clerk, drawing back in dismay from the cloud of foul faces which lowered upon him.
3752_4943_000008_000000	"But, Mr. Troke--"	"But, mr Troke-"
3752_4943_000009_000000	"Stow your gaff," says Troke, with another oath, and impatiently striking the lad with his thong--"I can't argue here all night.	"Stow your gaff," says Troke, with another oath, and impatiently striking the lad with his thong-"I can't argue here all night.
3752_4943_000009_000001	Get in." So Kirkland, aged twenty-two, and the son of Methodist parents, went in.	Get in." So Kirkland, aged twenty two, and the son of Methodist parents, went in.
3752_4943_000010_000000	Rufus Dawes, among whose sinister memories this yard was numbered, sighed.	Rufus Dawes, among whose sinister memories this yard was numbered, sighed.
3752_4943_000010_000001	So fierce was the glamour of the place, however, that when locked into his cell, he felt ashamed for that sigh, and strove to erase the memory of it.	So fierce was the glamour of the place, however, that when locked into his cell, he felt ashamed for that sigh, and strove to erase the memory of it.
3752_4943_000011_000000	About dawn the next morning, Mr. North--who, amongst other vagaries not approved of by his bishop, had a habit of prowling about the prison at unofficial hours--was attracted by a dispute at the door of the dormitory.	About dawn the next morning, mr North-who, amongst other vagaries not approved of by his bishop, had a habit of prowling about the prison at unofficial hours-was attracted by a dispute at the door of the dormitory.
3752_4943_000012_000000	"What's the matter here?" he asked.	"What's the matter here?" he asked.
3752_4943_000013_000000	"A prisoner refractory, your reverence," said the watchman.	"A prisoner refractory, your reverence," said the watchman.
3752_4943_000013_000001	"Wants to come out."	"Wants to come out."
3752_4943_000014_000000	"Mr. North!	"mr North!
3752_4943_000014_000001	Mr. North!" cried a voice, "for the love of God, let me out of this place!"	mr North!" cried a voice, "for the love of God, let me out of this place!"
3752_4943_000015_000000	Kirkland, ghastly pale, bleeding, with his woollen shirt torn, and his blue eyes wide open with terror, was clinging to the bars.	Kirkland, ghastly pale, bleeding, with his woollen shirt torn, and his blue eyes wide open with terror, was clinging to the bars.
3752_4943_000016_000000	"Oh, Mr. North!	"Oh, mr North!
3752_4943_000016_000002	Oh, Mr. North!	Oh, mr North!
3752_4943_000016_000003	Oh, for God's sake, Mr. North!"	Oh, for God's sake, mr North!"
3752_4943_000017_000000	"What, Kirkland!" cried North, who was ignorant of the vengeance of the Commandant.	"What, Kirkland!" cried North, who was ignorant of the vengeance of the Commandant.
3752_4943_000018_000000	But Kirkland could do nothing but cry,--"Oh, Mr. North!	But Kirkland could do nothing but cry,--"Oh, mr North!
3752_4943_000018_000001	For God's sake, Mr. North!" and beat on the bars with white and sweating hands.	For God's sake, mr North!" and beat on the bars with white and sweating hands.
3752_4943_000019_000000	"Let him out, watchman!" said North.	"Let him out, watchman!" said North.
3752_4943_000020_000000	"Can't sir, without an order from the Commandant."	"Can't sir, without an order from the Commandant."
3752_4943_000021_000000	"I order you, sir!" North cried, indignant.	"I order you, sir!" North cried, indignant.
3752_4943_000022_000000	"Very sorry, your reverence; but your reverence knows that I daren't do such a thing." "Mr.	"Very sorry, your reverence; but your reverence knows that I daren't do such a thing." "mr
3752_4943_000022_000001	North!" screamed Kirkland.	North!" screamed Kirkland.
3752_4943_000022_000002	"Would you see me perish, body and soul, in this place?	"Would you see me perish, body and soul, in this place?
3752_4943_000022_000003	Mr. North!	mr North!
3752_4943_000022_000004	Oh, you ministers of Christ--wolves in sheep's clothing--you shall be judged for this!"	Oh, you ministers of Christ-wolves in sheep's clothing-you shall be judged for this!"
3752_4943_000023_000000	"Let him out!" cried North again, stamping his foot.	"Let him out!" cried North again, stamping his foot.
3752_4943_000024_000001	"I can't.	"I can't.
3752_4943_000024_000002	If he was dying, I can't."	If he was dying, I can't."
3752_4943_000025_000000	North rushed away to the Commandant, and the instant his back was turned, Hailes, the watchman, flung open the door, and darted into the dormitory.	North rushed away to the Commandant, and the instant his back was turned, Hailes, the watchman, flung open the door, and darted into the dormitory.
3752_4943_000026_000001	"There's more trouble with you bloody aristocrats than enough.	"There's more trouble with you bloody aristocrats than enough.
3752_4943_000026_000002	Lie quiet!"	Lie quiet!"
3752_4943_000027_000000	The Commandant, roused from slumber, told Mr. North that Kirkland might stop where he was, and that he'd thank the chaplain not to wake him up in the middle of the night because a blank prisoner set up a blank howling.	The Commandant, roused from slumber, told mr North that Kirkland might stop where he was, and that he'd thank the chaplain not to wake him up in the middle of the night because a blank prisoner set up a blank howling.
3752_4943_000028_000000	"But, my good sir," protested North, restraining his impulse to overstep the bounds of modesty in his language to his superior officer, "you know the character of the men in that ward.	"But, my good sir," protested North, restraining his impulse to overstep the bounds of modesty in his language to his superior officer, "you know the character of the men in that ward.
3752_4943_000028_000001	You can guess what that unhappy boy has suffered."	You can guess what that unhappy boy has suffered."
3752_4943_000029_000000	"Impertinent young beggar!" said Burgess.	"Impertinent young beggar!" said Burgess.
3752_4943_000029_000001	"Do him good, curse him!	"Do him good, curse him!
3752_4943_000029_000002	Mr. North, I'm sorry you should have had the trouble to come here, but will you let me go to sleep?"	mr North, I'm sorry you should have had the trouble to come here, but will you let me go to sleep?"
3752_4943_000030_000000	North returned to the prison disconsolately, found the dutiful Hailes at his post, and all quiet.	North returned to the prison disconsolately, found the dutiful Hailes at his post, and all quiet.
3752_4943_000031_000000	"What's become of Kirkland?" he asked.	"What's become of Kirkland?" he asked.
3752_4943_000032_000000	"Fretted hisself to sleep, yer reverence," said Hailes, in accents of parental concern.	"Fretted hisself to sleep, yer reverence," said Hailes, in accents of parental concern.
3752_4943_000032_000001	"Poor young chap!	"Poor young chap!
3752_4943_000033_000000	In the morning, Rufus Dawes, coming to his place on the chain-gang, was struck by the altered appearance of Kirkland.	In the morning, Rufus Dawes, coming to his place on the chain gang, was struck by the altered appearance of Kirkland.
3752_4943_000033_000001	His face was of a greenish tint, and wore an expression of bewildered horror.	His face was of a greenish tint, and wore an expression of bewildered horror.
3752_4943_000034_000000	"Cheer up, man!" said Dawes, touched with momentary pity.	"Cheer up, man!" said Dawes, touched with momentary pity.
3752_4943_000034_000001	"It's no good being in the mopes, you know."	"It's no good being in the mopes, you know."
3752_4943_000035_000000	"What do they do if you try to bolt?" whispered Kirkland.	"What do they do if you try to bolt?" whispered Kirkland.
3752_4943_000036_000000	"Kill you," returned Dawes, in a tone of surprise at so preposterous a question.	"Kill you," returned Dawes, in a tone of surprise at so preposterous a question.
3752_4943_000037_000000	"Thank God!" said Kirkland.	"Thank God!" said Kirkland.
3752_4943_000038_000000	"Now then, Miss Nancy," said one of the men, "what's the matter with you!" Kirkland shuddered, and his pale face grew crimson.	"Now then, Miss Nancy," said one of the men, "what's the matter with you!" Kirkland shuddered, and his pale face grew crimson.
3752_4943_000039_000000	"Oh," he said, "that such a wretch as I should live!"	"Oh," he said, "that such a wretch as I should live!"
3752_4943_000040_000000	"Silence!" cried Troke.	"Silence!" cried Troke.
3752_4943_000040_000002	March!"	March!"
3752_4943_000041_000000	The work of the gang that afternoon was the carrying of some heavy logs to the water-side, and Rufus Dawes observed that Kirkland was exhausted long before the task was accomplished.	The work of the gang that afternoon was the carrying of some heavy logs to the water side, and Rufus Dawes observed that Kirkland was exhausted long before the task was accomplished.
3752_4943_000041_000002	"What have you been doing to get into this scrape?"	"What have you been doing to get into this scrape?"
3752_4943_000042_000000	"Have you ever been in that--that place I was in last night?" asked Kirkland.	"Have you ever been in that-that place I was in last night?" asked Kirkland.
3752_4943_000043_000000	Rufus Dawes nodded.	Rufus Dawes nodded.
3752_4943_000045_000000	"I suppose so.	"I suppose so.
3752_4943_000045_000001	What does he care?"	What does he care?"
3752_4943_000046_000002	Hold up, my lad.	Hold up, my lad.
3752_4943_000046_000003	If you fall, we must fall over you, and then you're done for."	If you fall, we must fall over you, and then you're done for."
3752_4943_000047_000000	He had hardly uttered the words, when the boy flung himself beneath the log.	He had hardly uttered the words, when the boy flung himself beneath the log.
3752_4943_000048_000000	"Hold on to me, Miss Nancy," said the giant, "I'm big enough to carry double."	"Hold on to me, Miss Nancy," said the giant, "I'm big enough to carry double."
3752_4943_000050_000000	"Halt! you young fool," roared Troke, raising his carbine.	"Halt! you young fool," roared Troke, raising his carbine.
3752_4943_000050_000001	But Kirkland kept steadily on for the river.	But Kirkland kept steadily on for the river.
3752_4943_000050_000002	Just as he reached it, however, the figure of Mr. North rose from behind a pile of stones.	Just as he reached it, however, the figure of mr North rose from behind a pile of stones.
3752_4943_000050_000003	Kirkland jumped for the jetty, missed his footing, and fell into the arms of the chaplain.	Kirkland jumped for the jetty, missed his footing, and fell into the arms of the chaplain.
3752_4943_000051_000000	"You young vermin--you shall pay for this," cries Troke.	"You young vermin-you shall pay for this," cries Troke.
3752_4943_000051_000001	"You'll see if you won't remember this day."	"You'll see if you won't remember this day."
3752_4943_000052_000000	"Oh, Mr. North," says Kirkland, "why did you stop me?	"Oh, mr North," says Kirkland, "why did you stop me?
3752_4943_000053_000001	"Your blessed hide'll feel for this, see if it don't."	"Your blessed hide'll feel for this, see if it don't."
3752_4943_000054_000000	Kirkland only breathed harder, and looked round for Mr. North, but Mr. North had gone.	Kirkland only breathed harder, and looked round for mr North, but mr North had gone.
3752_4943_000054_000002	Troke reported the ex-bank clerk that night to Burgess, and Burgess, who was about to go to dinner with the new chaplain, disposed of his case out of hand.	Troke reported the ex bank clerk that night to Burgess, and Burgess, who was about to go to dinner with the new chaplain, disposed of his case out of hand.
3752_4943_000054_000003	"Tried to bolt, eh!	"Tried to bolt, eh!
3752_4943_000054_000004	Must stop that.	Must stop that.
3752_4943_000054_000005	Fifty lashes, Troke.	Fifty lashes, Troke.
3752_4943_000054_000006	Tell Macklewain to be ready--or stay, I'll tell him myself--I'll break the young devil's spirit, blank him."	Tell Macklewain to be ready-or stay, I'll tell him myself-I'll break the young devil's spirit, blank him."
3752_4943_000055_000000	"Yes, sir," said Troke.	"Yes, sir," said Troke.
3752_4943_000055_000001	"Good evening, sir."	"Good evening, sir."
3752_4943_000056_000000	"Troke--pick out some likely man, will you?	"Troke-pick out some likely man, will you?
3752_4943_000056_000001	That last fellow you had ought to have been tied up himself.	That last fellow you had ought to have been tied up himself.
3752_4943_000056_000002	His flogging wouldn't have killed a flea."	His flogging wouldn't have killed a flea."
3752_4943_000058_000000	"They won't do it."	"They won't do it."
3752_4943_000059_000001	I won't have my men knocked up with flogging these rascals.	I won't have my men knocked up with flogging these rascals.
3752_4943_000059_000002	If the scourger won't do his duty, tie him up, and give him five-and-twenty for himself.	If the scourger won't do his duty, tie him up, and give him five and twenty for himself.
3752_4943_000059_000003	I'll be down in the morning myself if I can."	I'll be down in the morning myself if I can."
3752_4943_000061_000000	Kirkland was put into a separate cell that night; and Troke, by way of assuring him a good night's rest, told him that he was to have "fifty" in the morning.	Kirkland was put into a separate cell that night; and Troke, by way of assuring him a good night's rest, told him that he was to have "fifty" in the morning.
