1993_147149_000000_000000	[Footnote 19: The case, to my certain knowledge, in one churchyard in Manchester.	[Footnote nineteen: The case, to my certain knowledge, in one churchyard in Manchester.	false	7.98	19.11	20.182095
1993_147149_000000_000001	There may be more.]	There may be more.]	false	19.11	21.54	21.400822
1993_147149_000001_000000	CHAPTER VII.	CHAPTER seven.	true	21.54	22.57	18
1993_147149_000002_000000	JEM WILSON'S REPULSE.	JEM WILSON'S REPULSE.	true	22.91	24.79	19.802145
1993_147149_000003_000000	"How infinite the wealth of love and hope Garnered in these same tiny treasure-houses! And oh! what bankrupts in the world we feel, When Death, like some remorseless creditor, Seizes on all we fondly thought our own!"	"How infinite the wealth of love and hope Garnered in these same tiny treasure houses! And oh! what bankrupts in the world we feel, When Death, like some remorseless creditor, Seizes on all we fondly thought our own!"	true	26.42	40.18	18
1993_147149_000004_000000	"THE TWINS."	"THE TWINS."	true	40.85	41.86	19.513254
1993_147149_000005_000000	The ghoul-like fever was not to be braved with impunity, and baulked of its prey.	The ghoul like fever was not to be braved with impunity, and baulked of its prey.	true	44.39	49.51	22
1993_147149_000005_000001	The widow had reclaimed her children; her neighbours, in the good Samaritan sense of the word, had paid her little arrears of rent, and made her a few shillings beforehand with the world. She determined to flit from that cellar to another less full of painful associations, less haunted by mournful memories.	The widow had reclaimed her children; her neighbours, in the good Samaritan sense of the word, had paid her little arrears of rent, and made her a few shillings beforehand with the world. She determined to flit from that cellar to another less full of painful associations, less haunted by mournful memories.	true	50.06	66.52	18
1993_147149_000005_000002	The board, not so formidable as she had imagined, had inquired into her case; and, instead of sending her to Stoke Claypole, her husband's Buckinghamshire parish, as she had dreaded, had agreed to pay her rent.	The board, not so formidable as she had imagined, had inquired into her case; and, instead of sending her to Stoke Claypole, her husband's Buckinghamshire parish, as she had dreaded, had agreed to pay her rent.	true	67.37	81.13	20.301584
1993_147149_000005_000003	So food for four mouths was all she was now required to find; only for three she would have said; for herself and the unweaned child were but reckoned as one in her calculation.	So food for four mouths was all she was now required to find; only for three she would have said; for herself and the unweaned child were but reckoned as one in her calculation.	true	81.56	92.44	20
1993_147149_000006_000000	She had a strong heart, now her bodily strength had been recruited by a week or two of food, and she would not despair.	She had a strong heart, now her bodily strength had been recruited by a week or two of food, and she would not despair.	false	93.32	100.66	22
1993_147149_000006_000001	So she took in some little children to nurse, who brought their daily food with them, which she cooked for them, without wronging their helplessness of a crumb; and when she had restored them to their mothers at night, she set to work at plain sewing, "seam, and gusset, and band," and sat thinking how she might best cheat the factory inspector, and persuade him that her strong, big, hungry Ben was above thirteen.	So she took in some little children to nurse, who brought their daily food with them, which she cooked for them, without wronging their helplessness of a crumb; and when she had restored them to their mothers at night, she set to work at plain sewing, "seam, and gusset, and band," and sat thinking how she might best cheat the factory inspector, and persuade him that her strong, big, hungry Ben was above thirteen.	true	101.42	126.43	22.612104
1993_147149_000006_000002	Her plan of living was so far arranged, when she heard, with keen sorrow, that Wilson's twin lads were ill of the fever.	Her plan of living was so far arranged, when she heard, with keen sorrow, that Wilson's twin lads were ill of the fever.	true	127.01	135.19	21
1993_147149_000007_000000	They had never been strong.	They had never been strong.	true	135.8	137.56	18.723593
