1993_147964_000000_000000	"They might be dried meat from some queer beast, Jim.	"They might be dried meat from some queer beast, Jim.	false	0	3.27	19.245707
1993_147964_000000_000001	They ain't dried fish, and they never grew on stalk or vine.	They ain't dried fish, and they never grew on stalk or vine.	false	3.27	7.05	21.866735
1993_147964_000000_000002	I'm afraid of 'em.	I'm afraid of 'em.	false	7.05	7.98	19.456419
1993_147964_000000_000003	Anyhow, I should n't want to eat anything that had been shut up for months with old clothes and goose pillows."	Anyhow, I should n't want to eat anything that had been shut up for months with old clothes and goose pillows."	false	7.98	8.1	17
1993_147964_000001_000000	She threw the package into the stove, but I bit off a corner of one of the chips I held in my hand, and chewed it tentatively.	She threw the package into the stove, but I bit off a corner of one of the chips I held in my hand, and chewed it tentatively.	false	8.1	9.09	17
1993_147964_000001_000001	I never forgot the strange taste; though it was many years before I knew that those little brown shavings, which the Shimerdas had brought so far and treasured so jealously, were dried mushrooms.	I never forgot the strange taste; though it was many years before I knew that those little brown shavings, which the Shimerdas had brought so far and treasured so jealously, were dried mushrooms.	false	9.09	21.24	21.086632
1993_147964_000001_000002	They had been gathered, probably, in some deep Bohemian forest {~HORIZONTAL ELLIPSIS~}	They had been gathered, probably, in some deep Bohemian forest {~ HORIZONTAL ELLIPSIS ~}	false	21.24	27.93	20.05075
1993_147964_000002_000000	XI	XI	false	27.93	28.83	-2
1993_147964_000003_000000	DURING the week before Christmas, Jake was the most important person of our household, for he was to go to town and do all our Christmas shopping. But on the 21st of December, the snow began to fall.	DURING the week before Christmas, Jake was the most important person of our household, for he was to go to town and do all our Christmas shopping. But on the twenty first of December, the snow began to fall.	true	28.83	40.81	19.507826
1993_147964_000003_000001	The flakes came down so thickly that from the sitting-room windows I could not see beyond the windmill--its frame looked dim and gray, unsubstantial like a shadow.	The flakes came down so thickly that from the sitting room windows I could not see beyond the windmill-its frame looked dim and gray, unsubstantial like a shadow.	true	41.48	52.48	21.651052
1993_147964_000003_000002	The snow did not stop falling all day, or during the night that followed.	The snow did not stop falling all day, or during the night that followed.	true	53.42	57.4	20.65082
1993_147964_000003_000003	The cold was not severe, but the storm was quiet and resistless.	The cold was not severe, but the storm was quiet and resistless.	true	57.8	62.05	22.916925
1993_147964_000003_000004	The men could not go farther than the barns and corral.	The men could not go farther than the barns and corral.	true	63.92	66.91	20
1993_147964_000003_000005	They sat about the house most of the day as if it were Sunday; greasing their boots, mending their suspenders, plaiting whiplashes.	They sat about the house most of the day as if it were Sunday; greasing their boots, mending their suspenders, plaiting whiplashes.	true	67.31	75.13	24.030851
1993_147964_000004_000000	On the morning of the 22d, grandfather announced at breakfast that it would be impossible to go to Black Hawk for Christmas purchases.	On the morning of the twenty two d, grandfather announced at breakfast that it would be impossible to go to Black Hawk for Christmas purchases.	false	76.07	83.5	24.400602
1993_147964_000004_000001	Jake was sure he could get through on horseback, and bring home our things in saddle-bags; but grandfather told him the roads would be obliterated, and a newcomer in the country would be lost ten times over.	Jake was sure he could get through on horseback, and bring home our things in saddle bags; but grandfather told him the roads would be obliterated, and a newcomer in the country would be lost ten times over.	true	84.11	95.38	21.86627
1993_147964_000004_000002	Anyway, he would never allow one of his horses to be put to such a strain.	Anyway, he would never allow one of his horses to be put to such a strain.	true	96.2	100.27	18
1993_147964_000005_000000	We decided to have a country Christmas, without any help from town.	We decided to have a country Christmas, without any help from town.	true	101.21	105.04	20
1993_147964_000005_000001	I had wanted to get some picture-books for Yulka and Antonia; even Yulka was able to read a little now.	I had wanted to get some picture books for Yulka and Antonia; even Yulka was able to read a little now.	true	105.47	111.31	21
1993_147964_000005_000002	Grandmother took me into the ice-cold storeroom, where she had some bolts of gingham and sheeting.	Grandmother took me into the ice cold storeroom, where she had some bolts of gingham and sheeting.	true	111.8	117.1	17
1993_147964_000005_000003	She cut squares of cotton cloth and we sewed them together into a book.	She cut squares of cotton cloth and we sewed them together into a book.	true	117.35	121.87	21.833702
1993_147964_000005_000004	We bound it between pasteboards, which I covered with brilliant calico, representing scenes from a circus.	We bound it between pasteboards, which I covered with brilliant calico, representing scenes from a circus.	true	122.09	129.34	23.689274
1993_147964_000005_000005	For two days I sat at the dining-room table, pasting this book full of pictures for Yulka.	For two days I sat at the dining room table, pasting this book full of pictures for Yulka.	true	129.53	134.59	20
1993_147964_000005_000006	We had files of those good old family magazines which used to publish colored lithographs of popular paintings, and I was allowed to use some of these.	We had files of those good old family magazines which used to publish colored lithographs of popular paintings, and I was allowed to use some of these.	true	135.26	144.28	20
1993_147964_000005_000007	I took "Napoleon Announcing the Divorce to Josephine" for my frontispiece.	I took "Napoleon Announcing the Divorce to Josephine" for my frontispiece.	true	144.92	149.29	21
1993_147964_000005_000008	On the white pages I grouped Sunday-School cards and advertising cards which I had brought from my "old country." Fuchs got out the old candle-moulds and made tallow candles.	On the white pages I grouped Sunday School cards and advertising cards which I had brought from my "old country." Fuchs got out the old candle moulds and made tallow candles.	true	149.84	160.96	23
1993_147964_000005_000009	Grandmother hunted up her fancy cake-cutters and baked gingerbread men and roosters, which we decorated with burnt sugar and red cinnamon drops.	Grandmother hunted up her fancy cake cutters and baked gingerbread men and roosters, which we decorated with burnt sugar and red cinnamon drops.	true	161.3	170.02	21
1993_147964_000006_000000	On the day before Christmas, Jake packed the things we were sending to the Shimerdas in his saddle-bags and set off on grandfather's gray gelding. When he mounted his horse at the door, I saw that he had a hatchet slung to his belt, and he gave grandmother a meaning look which told me he was planning a surprise for me.	On the day before Christmas, Jake packed the things we were sending to the Shimerdas in his saddle bags and set off on grandfather's gray gelding. When he mounted his horse at the door, I saw that he had a hatchet slung to his belt, and he gave grandmother a meaning look which told me he was planning a surprise for me.	true	171.26	190.15	21.191689
1993_147964_000006_000001	That afternoon I watched long and eagerly from the sitting-room window.	That afternoon I watched long and eagerly from the sitting room window.	true	190.88	194.98	14
1993_147964_000006_000002	At last I saw a dark spot moving on the west hill, beside the half-buried cornfield, where the sky was taking on a coppery flush from the sun that did not quite break through.	At last I saw a dark spot moving on the west hill, beside the half buried cornfield, where the sky was taking on a coppery flush from the sun that did not quite break through.	true	195.23	206.26	18
1993_147964_000006_000003	I put on my cap and ran out to meet Jake.	I put on my cap and ran out to meet Jake.	true	206.87	209.92	25.633507
1993_147964_000006_000004	When I got to the pond I could see that he was bringing in a little cedar tree across his pommel.	When I got to the pond I could see that he was bringing in a little cedar tree across his pommel.	true	210.14	215.41	23
1993_147964_000006_000005	He used to help my father cut Christmas trees for me in Virginia, and he had not forgotten how much I liked them.	He used to help my father cut Christmas trees for me in Virginia, and he had not forgotten how much I liked them.	true	215.87	222.19	22
1993_147964_000007_000000	By the time we had placed the cold, fresh-smelling little tree in a corner of the sitting-room, it was already Christmas Eve.	By the time we had placed the cold, fresh smelling little tree in a corner of the sitting room, it was already Christmas Eve.	true	223.88	230.41	19
1993_147964_000007_000001	After supper we all gathered there, and even grandfather, reading his paper by the table, looked up with friendly interest now and then.	After supper we all gathered there, and even grandfather, reading his paper by the table, looked up with friendly interest now and then.	true	230.84	238.57	18
1993_147964_000007_000002	The cedar was about five feet high and very shapely.	The cedar was about five feet high and very shapely.	true	239.42	242.74	20.271997
1993_147964_000007_000003	We hung it with the gingerbread animals, strings of popcorn, and bits of candle which Fuchs had fitted into pasteboard sockets.	We hung it with the gingerbread animals, strings of popcorn, and bits of candle which Fuchs had fitted into pasteboard sockets.	false	242.93	250.15	20
1993_147964_000007_000004	Its real splendors, however, came from the most unlikely place in the world--from Otto's cowboy trunk.	Its real splendors, however, came from the most unlikely place in the world-from Otto's cowboy trunk.	true	250.52	257.92	25.195148
1993_147964_000007_000005	I had never seen anything in that trunk but old boots and spurs and pistols, and a fascinating mixture of yellow leather thongs, cartridges, and shoemaker's wax.	I had never seen anything in that trunk but old boots and spurs and pistols, and a fascinating mixture of yellow leather thongs, cartridges, and shoemaker's wax.	false	258.65	268.06	16
1993_147964_000007_000006	From under the lining he now produced a collection of brilliantly colored paper figures, several inches high and stiff enough to stand alone.	From under the lining he now produced a collection of brilliantly colored paper figures, several inches high and stiff enough to stand alone.	true	268.64	277.12	18
1993_147964_000007_000007	They had been sent to him year after year, by his old mother in Austria.	They had been sent to him year after year, by his old mother in Austria.	true	277.55	281.59	15
1993_147964_000007_000008	There was a bleeding heart, in tufts of paper lace; there were the three kings, gorgeously appareled, and the ox and the ass and the shepherds; there was the Baby in the manger, and a group of angels, singing; there were camels and leopards, held by the black slaves of the three kings.	There was a bleeding heart, in tufts of paper lace; there were the three kings, gorgeously appareled, and the ox and the ass and the shepherds; there was the Baby in the manger, and a group of angels, singing; there were camels and leopards, held by the black slaves of the three kings.	false	282.38	300.1	22.046394
1993_147964_000007_000009	Our tree became the talking tree of the fairy tale; legends and stories nestled like birds in its branches.	Our tree became the talking tree of the fairy tale; legends and stories nestled like birds in its branches.	true	300.44	307.42	20
1993_147964_000007_000010	Grandmother said it reminded her of the Tree of Knowledge.	Grandmother said it reminded her of the Tree of Knowledge.	true	307.97	310.99	16
1993_147964_000007_000011	We put sheets of cotton wool under it for a snow-field, and Jake's pocket-mirror for a frozen lake.	We put sheets of cotton wool under it for a snow field, and Jake's pocket mirror for a frozen lake.	true	311.39	317.11	23
1993_147964_000008_000000	I can see them now, exactly as they looked, working about the table in the lamplight: Jake with his heavy features, so rudely moulded that his face seemed, somehow, unfinished; Otto with his half-ear and the savage scar that made his upper lip curl so ferociously under his twisted mustache.	I can see them now, exactly as they looked, working about the table in the lamplight: Jake with his heavy features, so rudely moulded that his face seemed, somehow, unfinished; Otto with his half ear and the savage scar that made his upper lip curl so ferociously under his twisted mustache.	true	317.84	337.69	21.380165
1993_147964_000008_000001	As I remember them, what unprotected faces they were; their very roughness and violence made them defenseless.	As I remember them, what unprotected faces they were; their very roughness and violence made them defenseless.	true	338.57	345.55	21.00737
1993_147964_000008_000002	These boys had no practiced manner behind which they could retreat and hold people at a distance.	These boys had no practiced manner behind which they could retreat and hold people at a distance.	true	346.25	351.79	19
1993_147964_000008_000003	They had only their hard fists to batter at the world with.	They had only their hard fists to batter at the world with.	true	352.16	355.72	19.291183
1993_147964_000008_000004	Otto was already one of those drifting, case-hardened laborers who never marry or have children of their own.	Otto was already one of those drifting, case hardened laborers who never marry or have children of their own.	true	356.33	362.59	15
1993_147964_000008_000005	Yet he was so fond of children!	Yet he was so fond of children!	false	362.9	373.41	20.44982
