1462_170138_000000_000000	CHAPTER II	CHAPTER two	false	0.87	12.13	21.543789
1462_170138_000001_000000	On the night of his arrival in London, Alexander went immediately to the hotel on the Embankment at which he always stopped, and in the lobby he was accosted by an old acquaintance, Maurice Mainhall, who fell upon him with effusive cordiality and indicated a willingness to dine with him. Bartley never dined alone if he could help it, and Mainhall was a good gossip who always knew what had been going on in town; especially, he knew everything that was not printed in the newspapers.	On the night of his arrival in London, Alexander went immediately to the hotel on the Embankment at which he always stopped, and in the lobby he was accosted by an old acquaintance, Maurice Mainhall, who fell upon him with effusive cordiality and indicated a willingness to dine with him. Bartley never dined alone if he could help it, and Mainhall was a good gossip who always knew what had been going on in town; especially, he knew everything that was not printed in the newspapers.	true	14.57	43.57	22.85999
1462_170138_000001_000001	The nephew of one of the standard Victorian novelists, Mainhall bobbed about among the various literary cliques of London and its outlying suburbs, careful to lose touch with none of them.	The nephew of one of the standard Victorian novelists, Mainhall bobbed about among the various literary cliques of London and its outlying suburbs, careful to lose touch with none of them.	true	43.97	55.36	22
1462_170138_000001_000002	He had written a number of books himself; among them a "History of Dancing," a "History of Costume," a "Key to Shakespeare's Sonnets," a study of "The Poetry of Ernest Dowson," etc. Although Mainhall's enthusiasm was often tiresome, and although he was often unable to distinguish between facts and vivid figments of his imagination, his imperturbable good nature overcame even the people whom he bored most, so that they ended by becoming, in a reluctant manner, his friends.	He had written a number of books himself; among them a "History of Dancing," a "History of Costume," a "Key to Shakespeare's Sonnets," a study of "The Poetry of Ernest Dowson," etc Although Mainhall's enthusiasm was often tiresome, and although he was often unable to distinguish between facts and vivid figments of his imagination, his imperturbable good nature overcame even the people whom he bored most, so that they ended by becoming, in a reluctant manner, his friends.	true	55.76	88.99	23.072212
1462_170138_000001_000003	In appearance, Mainhall was astonishingly like the conventional stage-Englishman of American drama: tall and thin, with high, hitching shoulders and a small head glistening with closely brushed yellow hair.	In appearance, Mainhall was astonishingly like the conventional stage Englishman of American drama: tall and thin, with high, hitching shoulders and a small head glistening with closely brushed yellow hair.	false	90.8	102.94	22.311953
1462_170138_000001_000004	He spoke with an extreme Oxford accent, and when he was talking well, his face sometimes wore the rapt expression of a very emotional man listening to music.	He spoke with an extreme Oxford accent, and when he was talking well, his face sometimes wore the rapt expression of a very emotional man listening to music.	true	103.55	113.59	21.197771
1462_170138_000001_000005	Mainhall liked Alexander because he was an engineer.	Mainhall liked Alexander because he was an engineer.	true	114.47	117.64	20
1462_170138_000001_000006	He had preconceived ideas about everything, and his idea about Americans was that they should be engineers or mechanics.	He had preconceived ideas about everything, and his idea about Americans was that they should be engineers or mechanics.	true	117.89	124.84	22.103546
1462_170138_000001_000007	He hated them when they presumed to be anything else.	He hated them when they presumed to be anything else.	true	125.03	128.56	20.578459
1462_170138_000002_000000	While they sat at dinner Mainhall acquainted Bartley with the fortunes of his old friends in London, and as they left the table he proposed that they should go to see Hugh MacConnell's new comedy, "Bog Lights."	While they sat at dinner Mainhall acquainted Bartley with the fortunes of his old friends in London, and as they left the table he proposed that they should go to see Hugh MacConnell's new comedy, "Bog Lights."	false	129.47	141.37	23.31714
1462_170138_000003_000000	"It's really quite the best thing MacConnell's done," he explained as they got into a hansom.	"It's really quite the best thing MacConnell's done," he explained as they got into a hansom.	false	142.13	147.04	23
1462_170138_000003_000001	"It's tremendously well put on, too.	"It's tremendously well put on, too.	true	147.08	149.32	23.554348
1462_170138_000003_000002	Florence Merrill and Cyril Henderson.	Florence Merrill and Cyril Henderson.	true	149.39	151.87	19.899282
