8842_304647_000005_000000	XVII.	seventeen.
8842_304647_000009_000000	XVIII.	eighteen.
8842_304647_000012_000001	The choice of arms was thine; Yet art thou scoffed at by the crucified! He lives--thy loss.	The choice of arms was thine; Yet art thou scoffed at by the crucified! He lives-thy loss.
8842_304647_000013_000000	XIX.	nineteen.
8842_304647_000017_000001	These things gave you birth: So have they mind and God.	These things gave you birth: So have they mind and God.
8842_304647_000017_000002	Repent; be wise! Man fights but ill with Him who rules the skies.	Repent; be wise! Man fights but ill with Him who rules the skies.
8842_304647_000031_000000	XXIII.	twenty three.
8842_304647_000034_000001	But my bell hath broke Her silence.	But my bell hath broke Her silence.
8842_304647_000034_000002	Yield, thou deaf, blind, tainted beast, To the wise fervour of a blameless mind!	Yield, thou deaf, blind, tainted beast, To the wise fervour of a blameless mind!
8842_304647_000039_000000	XXV.	twenty five.
8842_304647_000043_000000	XXVI.	twenty six.
8842_304647_000046_000000	All crime is its own torment, bearing woe To mind or body or decrease of fame; If not at once, still step by step our name Or blood or friends or fortune it brings low. But if our will do not resent the blow, We have not sinned.	All crime is its own torment, bearing woe To mind or body or decrease of fame; If not at once, still step by step our name Or blood or friends or fortune it brings low. But if our will do not resent the blow, We have not sinned.
8842_304647_000050_000000	Organ of rut, not reason, is the lord Who from the body politic doth drain Lust for himself, instead of toil and pain, Leaving us lean as crickets on dry sward. Well too if he like Love would filch our hoard With pleasure to ourselves, sluicing our vein And vigour to perpetuate the strain Of life by spilth of life within us stored! Love's cheat yields joy and profit.	Organ of rut, not reason, is the lord Who from the body politic doth drain Lust for himself, instead of toil and pain, Leaving us lean as crickets on dry sward. Well too if he like Love would filch our hoard With pleasure to ourselves, sluicing our vein And vigour to perpetuate the strain Of life by spilth of life within us stored! Love's cheat yields joy and profit.
8842_304647_000051_000000	XXVIII.	twenty eight.
