174_84280_000000_000000	CHAPTER THE TWELFTH	CHAPTER THE TWELFTH
174_84280_000001_000000	THE ARRAIGNMENT OF JEALOUSY	THE ARRAIGNMENT OF JEALOUSY
174_84280_000003_000001	I look out upon the neat French garden that I have watched the summer round, and before me is the pile of manuscript that has grown here, the story of my friendship and love for Mary and of its tragic end, and of all the changes of my beliefs and purposes that have arisen out of that.	I look out upon the neat French garden that I have watched the summer round, and before me is the pile of manuscript that has grown here, the story of my friendship and love for Mary and of its tragic end, and of all the changes of my beliefs and purposes that have arisen out of that.
174_84280_000003_000002	I had meant it to be the story of my life, but how little of my life is in it!	I had meant it to be the story of my life, but how little of my life is in it!
174_84280_000003_000003	It gives, at most, certain acute points, certain salient aspects.	It gives, at most, certain acute points, certain salient aspects.
174_84280_000003_000005	How we must simplify!	How we must simplify!
174_84280_000003_000007	Even Mary, of whom I have labored to tell you, seems not so much expressed as hidden beneath these corrected sheets.	Even Mary, of whom I have labored to tell you, seems not so much expressed as hidden beneath these corrected sheets.
174_84280_000003_000008	She who was so abundantly living, who could love like a burst of sunshine and give herself as God gives the world, is she here at all in this pile of industrious inexpert writing?	She who was so abundantly living, who could love like a burst of sunshine and give herself as God gives the world, is she here at all in this pile of industrious inexpert writing?
174_84280_000004_000000	Life is so much fuller than any book can be.	Life is so much fuller than any book can be.
174_84280_000004_000003	Nevertheless she was not all my life, nor the form of all my life.	Nevertheless she was not all my life, nor the form of all my life.
174_84280_000004_000005	But it is manifest I still live, I live and work and feel and share beauty....	But it is manifest I still live, I live and work and feel and share beauty....
174_84280_000005_000000	It seems to me more and more as I live longer, that most poetry and most literature and particularly the literature of the past is discordant with the vastness and variety, the reserves and resources and recuperations of life as we live it to-day.	It seems to me more and more as I live longer, that most poetry and most literature and particularly the literature of the past is discordant with the vastness and variety, the reserves and resources and recuperations of life as we live it to day.
174_84280_000005_000002	We range wider, last longer, and escape more and more from intensity towards understanding.	We range wider, last longer, and escape more and more from intensity towards understanding.
174_84280_000005_000003	And already this astounding blow begins to take its place among other events, as a thing strange and terrible indeed, but related to all the strangeness and mystery of life, part of the universal mysteries of despair and futility and death that have troubled my consciousness since childhood.	And already this astounding blow begins to take its place among other events, as a thing strange and terrible indeed, but related to all the strangeness and mystery of life, part of the universal mysteries of despair and futility and death that have troubled my consciousness since childhood.
174_84280_000005_000004	For a time the death of Mary obscured her life for me, but now her living presence is more in my mind again.	For a time the death of Mary obscured her life for me, but now her living presence is more in my mind again.
174_84280_000005_000005	I begin to see that it is the reality of her existence and not the accidents of her end that matter most.	I begin to see that it is the reality of her existence and not the accidents of her end that matter most.
174_84280_000005_000006	It signifies less that she should have flung out of life when it seemed that her living could only have meant disaster to herself and to all she loved, than that all her life should have been hampered and restricted.	It signifies less that she should have flung out of life when it seemed that her living could only have meant disaster to herself and to all she loved, than that all her life should have been hampered and restricted.
174_84280_000005_000007	Through all her life this brave and fine and beautiful being was for the most part of her possibilities, wasted in a splendid setting, magnificently wasted if you will, but wasted.	Through all her life this brave and fine and beautiful being was for the most part of her possibilities, wasted in a splendid setting, magnificently wasted if you will, but wasted.
174_84280_000007_000001	For it became necessary for me to see Justin in order that we should stamp out the whispers against her that followed her death.	For it became necessary for me to see Justin in order that we should stamp out the whispers against her that followed her death.
174_84280_000007_000003	There had been talk on the part of clerks and possible witnesses.	There had been talk on the part of clerks and possible witnesses.
174_84280_000008_000000	We had come to our parting, we had done our business with an affectation of emotional aloofness, and then suddenly he gripped me by the arm.	We had come to our parting, we had done our business with an affectation of emotional aloofness, and then suddenly he gripped me by the arm.
174_84280_000008_000001	"Stratton," he said, "we two---- We killed her.	"Stratton," he said, "we two---- We killed her.
174_84280_000008_000002	We tore her to pieces between us...."	We tore her to pieces between us...."
174_84280_000010_000000	"We tore her to pieces," he repeated.	"We tore her to pieces," he repeated.
174_84280_000010_000001	"It's so damned silly.	"It's so damned silly.
174_84280_000010_000002	One gets angry--like an animal."	One gets angry-like an animal."
174_84280_000011_000000	I became grotesquely anxious to assure him that, indeed, she and I had been, as they say, innocent throughout our last day together.	I became grotesquely anxious to assure him that, indeed, she and I had been, as they say, innocent throughout our last day together.
174_84280_000011_000001	"You were wrong in all that," I said.	"You were wrong in all that," I said.
174_84280_000011_000002	"She kept her faith with you.	"She kept her faith with you.
174_84280_000011_000003	We never planned to meet and when we met----.	We never planned to meet and when we met----.
174_84280_000011_000004	If we had been brother and sister----.	If we had been brother and sister----.
174_84280_000011_000005	Indeed there was nothing."	Indeed there was nothing."
174_84280_000012_000000	"I suppose," he said, "I ought to be glad of that.	"I suppose," he said, "I ought to be glad of that.
174_84280_000012_000001	But now it doesn't seem to matter very much.	But now it doesn't seem to matter very much.
174_84280_000012_000002	We killed her....	We killed her....
174_84280_000014_000001	In Mary, it seems to me, I found both womanhood and fellowship, I found what many have dreamt of, love and friendship freely given, and I could do nothing but clutch at her to make her my possession.	In Mary, it seems to me, I found both womanhood and fellowship, I found what many have dreamt of, love and friendship freely given, and I could do nothing but clutch at her to make her my possession.
174_84280_000014_000004	And she was owned, she was mastered, she was forced into concealment.	And she was owned, she was mastered, she was forced into concealment.
174_84280_000014_000005	What alternative was there for her?	What alternative was there for her?
174_84280_000014_000006	What alternative is there for any woman?	What alternative is there for any woman?
174_84280_000014_000007	She might perhaps have kept her freedom by some ill-paid work and at the price of every other impulse in her swift and eager nature.	She might perhaps have kept her freedom by some ill paid work and at the price of every other impulse in her swift and eager nature.
174_84280_000014_000008	She might have become one of those poor neuters, an independent woman....	She might have become one of those poor neuters, an independent woman....
174_84280_000014_000009	Life was made impossible for her and she was forced to die, according to the fate of all untimely things.	Life was made impossible for her and she was forced to die, according to the fate of all untimely things.
174_84280_000014_000010	She was destroyed, not merely by the unconsidered, undisciplined passions of her husband and her lover, but by the vast tradition that sustains and enforces the subjugation of her sex.	She was destroyed, not merely by the unconsidered, undisciplined passions of her husband and her lover, but by the vast tradition that sustains and enforces the subjugation of her sex.
174_84280_000014_000011	What I had from her, and what she was, is but a mere intimation of all that she and I might have made of each other and the world.	What I had from her, and what she was, is but a mere intimation of all that she and I might have made of each other and the world.
