7850_73752_000000_000000	CHAPTER XXII.	CHAPTER twenty two.	false	1.68	27.06	25.301981
7850_73752_000001_000000	_Ferdinand Meditates over His Good Fortune_.	underscore Ferdinand Meditates over His Good Fortune underscore.	false	27.06	31.83	24.89265
7850_73752_000002_000000	IN MOMENTS of deep feeling, alike sudden bursts of prosperity as in darker hours, man must be alone.	IN MOMENTS of deep feeling, alike sudden bursts of prosperity as in darker hours, man must be alone.	true	31.83	39.37	25.051662
7850_73752_000002_000001	It requires some self-communion to prepare ourselves for good fortune, as well as to encounter difficulty, and danger, and disgrace.	It requires some self communion to prepare ourselves for good fortune, as well as to encounter difficulty, and danger, and disgrace.	true	39.86	48.37	21.633451
7850_73752_000002_000002	This violent and triumphant revolution in his prospects and his fortunes was hardly yet completely comprehended by our friend, Ferdinand Armine; and when he had left a note for the generous Mirabel, whose slumbers he would not disturb at this early hour, even with good news, he strolled along up Charles-street, and to the Park, in one of those wild and joyous reveries in which we brood over coming bliss, and create a thousand glorious consequences.	This violent and triumphant revolution in his prospects and his fortunes was hardly yet completely comprehended by our friend, Ferdinand Armine; and when he had left a note for the generous Mirabel, whose slumbers he would not disturb at this early hour, even with good news, he strolled along up Charles street, and to the Park, in one of those wild and joyous reveries in which we brood over coming bliss, and create a thousand glorious consequences.	true	48.83	77.17	23.821428
7850_73752_000003_000000	It was one of those soft summer mornings which are so delightful in a great city.	It was one of those soft summer mornings which are so delightful in a great city.	true	78.5	82.62	21
7850_73752_000003_000001	The sky was clear, the air was bland, the water sparkled in the sun, and the trees seemed doubly green and fresh to one who so recently had gazed only on iron bars.	The sky was clear, the air was bland, the water sparkled in the sun, and the trees seemed doubly green and fresh to one who so recently had gazed only on iron bars.	false	82.62	94.63	23.741539
7850_73752_000003_000002	Ferdinand felt his freedom as well as his happiness.	Ferdinand felt his freedom as well as his happiness.	true	95.36	98.74	22.40704
7850_73752_000003_000003	He seated himself on a bench and thought of Henrietta Temple! he took out her note, and read it over and over again.	He seated himself on a bench and thought of Henrietta Temple! he took out her note, and read it over and over again.	true	99.02	105.88	21.19904
7850_73752_000003_000004	It was indeed her handwriting!	It was indeed her handwriting!	true	106.19	108.01	16.190355
7850_73752_000003_000005	Restless with impending joy, he sauntered to the bridge, and leant over the balustrade, gazing on the waters in charmed and charming vacancy.	Restless with impending joy, he sauntered to the bridge, and leant over the balustrade, gazing on the waters in charmed and charming vacancy.	true	108.41	118	20.817448
7850_73752_000003_000006	How many incidents, how many characters, how many feelings flitted over his memory!	How many incidents, how many characters, how many feelings flitted over his memory!	true	118.61	124.21	24.13016
7850_73752_000003_000007	Of what sweet and bitter experience did he not chew the cud!	Of what sweet and bitter experience did he not chew the cud!	false	124.4	128.29	28.326382
7850_73752_000003_000008	Four-and-twenty hours ago, and he deemed himself the most miserable and forlorn of human beings, and now all the blessings of the world seemed showered at his feet!	Four and twenty hours ago, and he deemed himself the most miserable and forlorn of human beings, and now all the blessings of the world seemed showered at his feet!	false	128.9	139.15	22.843168
7850_73752_000003_000009	A beautiful bride awaited him, whom he had loved with intense passion, and who he had thought but an hour ago was another's.	A beautiful bride awaited him, whom he had loved with intense passion, and who he had thought but an hour ago was another's.	true	139.34	147.28	23.59297
7850_73752_000003_000010	A noble fortune, which would permit him to redeem his inheritance, and rank him among the richest commoners of the realm, was to be controlled by one a few hours back a prisoner for desperate debts.	A noble fortune, which would permit him to redeem his inheritance, and rank him among the richest commoners of the realm, was to be controlled by one a few hours back a prisoner for desperate debts.	true	147.71	159.94	24
7850_73752_000003_000011	The most gifted individuals in the land emulated each other in proving which entertained for him the most sincere affection.	The most gifted individuals in the land emulated each other in proving which entertained for him the most sincere affection.	true	160.55	167.35	19
7850_73752_000003_000012	What man in the world had friends like Ferdinand Armine?	What man in the world had friends like Ferdinand Armine?	true	167.84	171.25	21.406775
7850_73752_000003_000013	Ferdinand Armine, who, two days back, deemed himself alone in the world!	Ferdinand Armine, who, two days back, deemed himself alone in the world!	true	171.53	176.38	22.19615
7850_73752_000003_000014	The unswerving devotion of Glastonbury, the delicate affection of his sweet cousin, all the magnanimity of the high-souled Mont-fort, and the generosity of the accomplished Mirabel, passed before him, and wonderfully affected him.	The unswerving devotion of Glastonbury, the delicate affection of his sweet cousin, all the magnanimity of the high souled Mont fort, and the generosity of the accomplished Mirabel, passed before him, and wonderfully affected him.	false	176.75	191.32	22.473827
7850_73752_000003_000015	He could not flatter himself that he indeed merited such singular blessings; and yet with all his faults, which with him were but the consequences of his fiery youth, Ferdinand had been faithful, to Henrietta.	He could not flatter himself that he indeed merited such singular blessings; and yet with all his faults, which with him were but the consequences of his fiery youth, Ferdinand had been faithful, to Henrietta.	true	191.87	205.42	23.149363
7850_73752_000003_000016	His constancy to her was now rewarded. As for his friends, the future must prove his gratitude to them.'	His constancy to her was now rewarded. As for his friends, the future must prove his gratitude to them.'	true	205.91	212.62	20.382406
7850_73752_000004_000000	Ferdinand Armine had great tenderness of disposition, and somewhat of a meditative mind; schooled by adversity, there was little doubt that his coming career would justify his favourable destiny.	Ferdinand Armine had great tenderness of disposition, and somewhat of a meditative mind; schooled by adversity, there was little doubt that his coming career would justify his favourable destiny.	true	213.47	225.04	21.139063
7850_73752_000005_000000	It was barely a year since he had returned from Malta, but what an eventful twelvemonth!	It was barely a year since he had returned from Malta, but what an eventful twelvemonth!	true	225.86	230.74	24.736427
